,SinHospitalizacion,,Hospitalizados,
Comorbilidades ,N ,% ,NO ,% 
Hipertension arterial ,38368 ,11.9 ,7785 ,32.6 
Diabetes ,18887 ,5.9 ,4835 ,20.3 
Obesidad ,9945 ,3.1 ,1701 ,7.1 
Asma ,9164 ,2.8 ,781 ,3.3 
Enfermedad cardiovascular ,2427 ,0.8 ,1026 ,4.3 
Enfermedad pulmonar cronica ,2204 ,0.7 ,1021 ,4.3 
Cardiopatia cronica ,1933 ,0.6 ,1050 ,4.4 
Enfermedad renal cronica ,1764 ,0.5 ,1046 ,4.4 
Enfermedad neurologica cronica ,1210 ,0.4 ,699 ,2.9 
Inmunocomprometido ,1584 ,0.5 ,675 ,2.8 
Enfermedad hepatica cronica ,299 ,0.1 ,279 ,1.2 
