,,,,,,,,,NumerodeCasos,segunFechade,IniciodeSintomas.,NotificacionO,Tomade,Muestra,,
,,Numero de ,Tasa ,Numero ,Tasa de ,Numero ,Tasa de ,Numero ,Tasa de ,SE SE SE SE ,SE SE SE SE ,SE SE ,SE ,SE SE ,SE SE ,SE SE SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,de Fallecidos ,Mortalidad ,de Casos Actuales ,Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 10 11 12 ,13 14 15 16 ,17 18 ,19 ,20 21 ,22 23 ,24 25 26 27 
Angol ,56058 ,381 ,679.7 ,9 ,16.1 ,48 ,85.6 ,46 ,82.1 ,0 1 1 3 ,10 11 15 35 ,27 12 ,11 ,7 24 ,19 57 ,59 41 27 21 
Carahue ,25486 ,82 ,321.7 ,0 ,0.0 ,3 ,11.8 ,3 ,11.8 ,0 0 0 0 ,3 10 9 8 ,5 1 ,O ,2 14 ,11 5 ,5 6 2 1 
Cholchol& ,12341 ,24 ,194.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,2 0 O 1 ,0 O ,1 ,0 1 ,12 5 ,1 0 0 O 
Collipulli ,26148 ,65 ,248.6 ,3 ,11.5 ,11 ,42.1 ,11 ,42.1 ,0 0 0 O ,0 1 1 1 ,3 O ,2 ,9 9 ,6 7 ,9 6 9 2 
Cunco ,18055 ,57 ,315.7 ,2 ,11.1 ,5 ,27.7 ,5 ,27.7 ,O 0 O 0 ,3 2 0 1 ,0 0 ,1 ,5 18 ,0 11 ,8 3 5 O 
Curacautin ,18178 ,25 ,137.5 ,1 ,5.5 ,2 ,11.0 ,2 ,11.0 ,O 0 O 2 ,0 2 O 0 ,2 0 ,1 ,O 1 ,2 4 ,9 0 1 1 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,O ,0.0 ,O 0 1 1 ,2 0 O 0 ,0 O ,O ,O O ,O O ,O 0 0 O 
Ercilla ,8458 ,19 ,224.6 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 4 1 4 ,1 1 ,O ,0 4 ,1 1 ,2 0 O O 
Freire& ,25446 ,111 ,436.2 ,1 ,3.9 ,2 ,7.9 ,2 ,7.9 ,0 0 O 2 ,4 O O 2 ,0 1 ,12 ,11 28 ,16 18 ,5 10 2 O 
Galvarino& ,12633 ,130 ,1029.1 ,0 ,0.0 ,18 ,142.5 ,18 ,142.5 ,0 0 O O ,O 2 O 0 ,O 1 ,O ,O 6 ,43 41 ,13 6 9 9 
Gorbea ,15148 ,38 ,250.9 ,1 ,6.6 ,O ,0.0 ,0 ,0.0 ,0 0 1 4 ,4 2 O 1 ,0 2 ,3 ,O 5 ,5 5 ,6 O O O 
Lautaro ,40746 ,125 ,306.8 ,2 ,4.9 ,11 ,27.0 ,11 ,27.0 ,1 O 0 6 ,3 15 5 6 ,2 8 ,9 ,3 14 ,21 6 ,10 5 7 4 
Loncoche& ,24739 ,81 ,327.4 ,2 ,8.1 ,19 ,76.8 ,19 ,76.8 ,0 0 O 2 ,3 2 4 3 ,3 3 ,3 ,2 7 ,19 1 ,6 4 17 2 
Lonquimay8 ,11049 ,70 ,633.5 ,2 ,18.1 ,O ,0.0 ,0 ,0.0 ,0 0 O O ,0 O O O ,2 13 ,12 ,27 12 ,1 O ,O 3 O O 
Los Sauces ,7517 ,18 ,239.5 ,0 ,0.0 ,9 ,119.7 ,9 ,119.7 ,0 0 0 O ,0 0 O 1 ,0 O ,O ,O 1 ,3 2 ,1 1 7 2 
Lumaco ,10050 ,41 ,408.0 ,O ,0.0 ,5 ,49.8 ,5 ,49.8 ,0 0 O O ,O O O 4 ,2 1 ,O ,1 3 ,2 9 ,8 6 3 2 
Melipeuco ,6265 ,9 ,143.7 ,O ,0.0 ,1 ,16.0 ,1 ,16.0 ,0 0 O O ,O O O 0 ,0 O ,O ,O 5 ,2 1 ,O O 0 1 
Nueva Imperia ,33777 ,124 ,367.1 ,2 ,5.9 ,13 ,38.5 ,13 ,38.5 ,O 0 0 4 ,10 4 13 6 ,3 2 ,6 ,5 2 ,3 23 ,19 11 7 6 
Padre Las Casas ,82110 ,188 ,229.0 ,5 ,6.1 ,9 ,11.0 ,9 ,11.0 ,O 0 0 12 ,28 24 16 17 ,11 0 ,5 ,24 16 ,13 4 ,7 2 3 6 
Perquenco ,7223 ,39 ,539.9 ,0 ,0.0 ,13 ,180.0 ,13 ,180.0 ,O O O 1 ,1 0 O 3 ,O 0 ,1 ,O O ,2 7 ,3 8 11 2 
