,,,,,,Numerode,Casossegun,FechadeIniciode,Sintoma,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE 16 ,SE SE SE SE 17 18 19 20 
Bulnes ,22607 ,108 ,477.7 ,37 ,163.7 ,36 ,159.2 ,O O 0 10 ,27 ,10 7 ,7 ,5 9 20 13 
Chillan& ,198624 ,444 ,223.5 ,28 ,14.1 ,28 ,14.1 ,O 1 27 116 ,116 ,75 33 ,25 ,16 11 16 8 
Chillan Viejo& ,33827 ,61 ,180.3 ,4 ,11.8 ,4 ,11.8 ,0 O 5 7 ,19 ,7 14 ,3 ,1 1 2 2 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O ,O ,O O ,O ,O 0 O 0 
Coelemu ,16845 ,4 ,23.7 ,O ,0.0 ,O ,0.0 ,O O O O ,2 ,2 O ,O ,O O O O 
Coihueco ,28375 ,45 ,158.6 ,3 ,10.6 ,3 ,10.6 ,O O O 3 ,3 ,4 6 ,12 ,12 2 1 2 
EI Carmen ,12334 ,4 ,32.4 ,1 ,8.1 ,1 ,8.1 ,0 O O 2 ,O ,1 O ,O ,O O 1 O 
Ninhue ,5414 ,4 ,73.9 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,O ,2 O ,2 ,0 O O 0 
Niquen ,11567 ,3 ,25.9 ,O ,0.0 ,O ,0.0 ,O O 0 0 ,O ,1 2 ,O ,0 O O 0 
Pemuco ,8639 ,9 ,104.2 ,3 ,34.7 ,3 ,34.7 ,O O 0 1 ,O ,4 1 ,O ,O O 3 0 
Pinto ,11880 ,12 ,101.0 ,O ,0.0 ,O ,0.0 ,O O O 2 ,3 ,5 1 ,1 ,O O O O 
Portezuelo ,4940 ,2 ,40.5 ,2 ,40.5 ,2 ,40.5 ,O O O O ,O ,O O ,O ,O O 1 1 
Quillon ,18777 ,33 ,175.7 ,2 ,10.7 ,2 ,10.7 ,0 O 1 8 ,9 ,8 1 ,O ,3 2 1 O 
Quirihue ,12192 ,12 ,98.4 ,8 ,65.6 ,8 ,65.6 ,0 0 0 0 ,1 ,2 O ,1 ,0 1 5 2 
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,O ,0.0 ,0 O 0 1 ,3 ,6 O ,O ,0 0 O O 
San Carlos ,56252 ,46 ,81.8 ,8 ,14.2 ,8 ,14.2 ,0 0 2 6 ,10 ,9 2 ,3 ,3 3 6 2 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,O O O 3 ,3 ,1 O ,1 ,O O O O 
San Ignacio ,16624 ,11 ,66.2 ,1 ,6.0 ,1 ,6.0 ,O O O 2 ,2 ,1 O ,1 ,3 2 O O 
San Nicolas ,12172 ,17 ,139.7 ,2 ,16.4 ,2 ,16.4 ,O O O 2 ,5 ,4 4 ,O ,0 O 1 1 
Treguaco ,5696 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 0 ,O ,O O ,O ,0 O O 0 
Yungay ,18596 ,57 ,306.5 ,3 ,16.1 ,3 ,16.1 ,O O O 4 ,15 ,21 3 ,4 ,6 2 2 0 
,,,,,,,,,,,,
