,,,,,,,,,Numero,deCasossegunFechade,Iniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE 18 19 ,SE 20 ,SE SE SE SE SE 21 22 23 24 25 
Antofagasta ,425725 ,2339 ,549.4 ,28 ,6.6 ,434 ,101.9 ,433 ,101.7 ,O 1 2 28 31 ,41 58 ,106 159 ,214 303 ,308 ,297 318 343 130 0 
Calama ,190336 ,1532 ,804.9 ,34 ,17.9 ,374 ,196.5 ,370 ,194.4 ,1 1 2 3 2 ,9 14 ,16 38 ,52 84 ,221 ,267 381 403 38 0 
Maria Elena& ,6814 ,175 ,2568.2 ,3 ,44.0 ,6 ,88.1 ,6 ,88.1 ,1 O 0 O O ,O 5 ,9 16 ,42 42 ,30 ,13 11 6 O 0 
Mejillones& ,14776 ,286 ,1935.6 ,4 ,27.1 ,5 ,33.8 ,5 ,33.8 ,O O O O 1 ,8 15 ,18 30 ,76 45 ,51 ,19 18 3 2 0 
Ollague ,287 ,2 ,696.9 ,O ,0.0 ,2 ,696.9 ,2 ,696.9 ,0 O O O O ,0 O ,O O ,O O ,O ,O O 0 2 0 
San Pedro de Atacama ,10434 ,26 ,249.2 ,0 ,0.0 ,12 ,115.0 ,12 ,115.0 ,0 O O 2 1 ,1 O ,O 1 ,O O ,1 ,4 3 13 O 0 
Sierra Gorda& ,1746 ,35 ,2004.6 ,0 ,0.0 ,7 ,400.9 ,7 ,400.9 ,O 0 O 0 O ,0 O ,0 O ,3 5 ,5 ,3 12 5 2 0 
Talta ,13657 ,42 ,307.5 ,0 ,0.0 ,4 ,29.3 ,4 ,29.3 ,0 0 0 0 0 ,2 3 ,2 1 ,1 3 ,12 ,6 7 5 0 0 
Tocopilla ,28079 ,46 ,163.8 ,2 ,7.1 ,7 ,24.9 ,7 ,24.9 ,0 O O 2 0 ,4 5 ,O 1 ,2 7 ,8 ,8 2 5 2 0 
Total ,691854 ,4483 ,648.0 ,71 ,10.3 ,851 ,123.0 ,846 ,122.3 ,2 2 4 35 35 ,65 100 ,151 246 ,390 489 ,636 ,617 752 783 176 0 
