,,,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas.,NotificacionOToma,deMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE SE SE SE 19 20 21 22 23 ,SE SE SE 24 25 26 
Corral ,5447 ,23 ,422.3 ,O ,0.0 ,3 ,55.1 ,3 ,55.1 ,0 0 O 0 ,O 0 ,O 1 0 O ,6 4 2 2 5 ,2 1 0 
Futrono ,15261 ,58 ,380.1 ,0 ,0.0 ,4 ,26.2 ,4 ,26.2 ,O 0 O 1 ,3 1 ,O O 0 O ,1 5 19 8 15 ,5 O O 
La Union& ,39538 ,79 ,199.8 ,2 ,5.1 ,15 ,37.9 ,15 ,37.9 ,0 0 1 5 ,8 5 ,5 9 5 2 ,2 2 2 6 11 ,12 4 O 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 1 ,1 0 ,O O 0 O ,O O 0 0 0 ,O O O 
Lanco& ,17652 ,26 ,147.3 ,O ,0.0 ,8 ,45.3 ,8 ,45.3 ,0 0 O O ,1 2 ,1 2 1 3 ,O O O 1 3 ,10 2 0 
Los Lagos ,20518 ,63 ,307.0 ,1 ,4.9 ,22 ,107.2 ,22 ,107.2 ,0 O O 0 ,O 0 ,0 O O O ,0 1 12 11 14 ,21 4 0 
Mafil ,7389 ,20 ,270.7 ,0 ,0.0 ,11 ,148.9 ,11 ,148.9 ,0 0 O 1 ,0 0 ,0 1 0 O ,0 1 2 0 2 ,12 1 0 
Mariquina ,23250 ,20 ,86.0 ,O ,0.0 ,2 ,8.6 ,2 ,8.6 ,0 0 O 3 ,1 4 ,1 O 0 O ,2 1 3 2 0 ,3 O 0 
Paillaco ,20798 ,27 ,129.8 ,0 ,0.0 ,2 ,9.6 ,2 ,9.6 ,0 0 O 1 ,0 0 ,0 O 0 O ,0 8 13 3 0 ,1 1 0 
Panguipulli8 ,35991 ,47 ,130.6 ,1 ,2.8 ,11 ,30.6 ,11 ,30.6 ,0 O O 0 ,0 0 ,0 1 0 1 ,0 4 4 8 18 ,5 6 0 
Rio Bueno& ,32925 ,21 ,63.8 ,0 ,0.0 ,3 ,9.1 ,3 ,9.1 ,0 0 O 3 ,1 4 ,1 1 2 1 ,0 O 3 1 1 ,1 2 0 
Valdivia& ,176774 ,268 ,151.6 ,6 ,3.4 ,54 ,30.5 ,54 ,30.5 ,0 1 1 26 ,32 25 ,17 9 8 4 ,2 10 30 24 16 ,33 30 0 
Desconocido& ,- ,5 ,- ,0 ,- ,1 ,- ,1 ,- ,0 0 1 0 ,O 0 ,1 1 0 O ,O O 0 1 0 ,1 O 0 
Total ,405835 ,659 ,162.4 ,10 ,2.5 ,136 ,33.5 ,136 ,33.5 ,0 1 3 41 ,47 41 ,26 25 16 11 ,13 36 90 67 85 ,106 51 0 
