Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Antofagasta ,& ,425725 ,7270 ,1707.7 ,129 ,30.3 ,655 ,153.9 ,654 ,153.6 
Calama ,& ,190336 ,6409 ,3367.2 ,191 ,100.3 ,377 ,198.1 ,375 ,197.0 
Maria Elena ,,6814 ,322 ,4725.6 ,12 ,176.1 ,15 ,220.1 ,15 ,220.1 
Mejillones ,& ,14776 ,464 ,3140.2 ,4 ,27.1 ,19 ,128.6 ,19 ,128.6 
Ollague ,,287 ,21 ,7317.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
San Pedro de Atacama ,& ,10434 ,260 ,2491.9 ,7 ,67.1 ,30 ,287.5 ,30 ,287.5 
Sierra Gorda ,,1746 ,69 ,3951.9 ,0 ,0.0 ,7 ,400.9 ,7 ,400.9 
Taltal ,,13657 ,124 ,908.0 ,3 ,22.0 ,7 ,51.3 ,6 ,43.9 
Tocopilla ,& ,28079 ,275 ,979.4 ,7 ,24.9 ,17 ,60.5 ,17 ,60.5 
Desconocido ,& ,- ,215 ,- ,0 ,- ,45 ,- ,45 ,- 
Total ,,691854 ,15429 ,2230.1 ,353 ,51.0 ,1172 ,169.4 ,1168 ,168.8 
