,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril ,SE 15 (5 de abri al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Andacollo ,11791 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,O ,O ,0 ,0 ,O 
Canela ,9546 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,O ,O ,O 
Combarbala ,13884 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,O ,O ,O 
Coquimbo ,256735 ,19 ,7.4 ,2 ,0.8 ,2 ,0.8 ,0 ,0 ,4 ,13 ,3 ,1 ,0 ,O 
Illape ,32801 ,19 ,57.9 ,12 ,36.6 ,12 ,36.6 ,O ,O ,0 ,0 ,4 ,7 ,6 ,O 
La Higuera ,4450 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,O ,O ,O 
La Serena ,249656 ,12 ,4.8 ,1 ,0.4 ,1 ,0.4 ,O ,O ,O ,3 ,7 ,2 ,O ,O 
Los Vilos ,23374 ,1 ,4.3 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,1 ,O ,0 ,O ,O 
Monte Patria ,32527 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,0 ,O ,O ,0 ,O 
Ovalle ,121269 ,8 ,6.6 ,1 ,0.8 ,1 ,0.8 ,O ,O ,2 ,2 ,4 ,O ,0 ,0 
Paiguano ,4675 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,O 
Punitaqui ,12165 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,0 ,O ,O 
Rio Hurtado ,4372 ,1 ,22.9 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,1 ,0 ,0 ,0 ,0 
Salamanca ,29110 ,6 ,20.6 ,3 ,10.3 ,3 ,10.3 ,O ,O ,0 ,1 ,2 ,1 ,2 ,0 
Vicuna ,29741 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,O ,O ,O ,O 
Total ,836096 ,66 ,7.9 ,19 ,2.3 ,19 ,2.3 ,0 ,0 ,6 ,21 ,20 ,11 ,8 ,0 
