,,,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas.NotificacionoTomadeMuestra
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
Aisen ,25002 ,10 ,40.0 ,O ,0.0 ,4 ,16.0 ,4 ,16.0 ,0 O 1 0 O O 0 O 0 O O O 1 2 0 2 2 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O O 0 1 0 0 0 O 0 O 0 0 0 0 O 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O O 0 0 O 0 O 0 O 0 0 0 0 O 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O O O 0 O O O O O 0 O 0 0 O 
Coyhaique ,61210 ,28 ,45.7 ,0 ,0.0 ,12 ,19.6 ,12 ,19.6 ,O 0 1 0 O 1 0 O 0 O 1 1 4 3 3 2 4 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 0 O 0 0 0 O 0 O 0 0 0 0 0 0 O 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O 0 O O 0 O 0 O 0 O 0 0 0 0 O 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 0 O 0 O 0 O 0 O 0 0 0 0 O 
Rio ibanez ,2699 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O 0 0 0 0 O 0 O 0 0 0 0 0 0 O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O 0 O 0 O 0 O 0 O O 0 O 0 O 
Desconocido ,- ,1 ,- ,O ,- ,O ,- ,0 ,- ,O 0 1 O 0 O 0 O 0 O 0 O 0 0 0 0 O 
Total ,107297 ,40 ,37.3 ,0 ,0.0 ,16 ,14.9 ,16 ,14.9 ,0 0 3 0 0 2 0 0 0 0 1 1 5 5 3 4 6 
