,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE 16 17 
Chepica ,15925 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,0 O 
Chimbarongo ,37696 ,2 ,5.3 ,O ,0.0 ,O ,0.0 ,O O O 1 1 O O ,O O 
Codegua ,14096 ,2 ,14.2 ,1 ,7.1 ,1 ,7.1 ,O O O 1 O O O ,O 1 
Coinco ,7831 ,1 ,12.8 ,1 ,12.8 ,1 ,12.8 ,O 0 O O O O 0 ,O 1 
Coltauco ,21263 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,0 O 
Donihue ,22700 ,2 ,8.8 ,2 ,8.8 ,2 ,8.8 ,O O O O O O O ,1 O 
Graneros ,36504 ,2 ,5.5 ,2 ,5.5 ,2 ,5.5 ,O O O O O O O ,O 2 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O 0 ,O O 
Las Cabras ,26749 ,4 ,15.0 ,3 ,11.2 ,3 ,11.2 ,O 0 O O O O 1 ,2 O 
Litueche ,6765 ,7 ,103.5 ,6 ,88.7 ,6 ,88.7 ,O O O O O O 0 ,1 5 
Lolol ,7289 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O O 
Machali ,59913 ,16 ,26.7 ,5 ,8.3 ,5 ,8.3 ,O O 1 5 1 O 4 ,O 5 
Malloa ,14163 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O O 
Marchihue ,7632 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O ,0 O 
Mostazal ,27462 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O O 
Nancagua ,19141 ,1 ,5.2 ,1 ,5.2 ,1 ,5.2 ,O O O O O O O ,O O 
Navidad ,6904 ,2 ,29.0 ,2 ,29.0 ,2 ,29.0 ,O O O O O O O ,O 2 
Olivar ,14624 ,6 ,41.0 ,O ,0.0 ,O ,0.0 ,O O O O 1 2 2 ,1 0 
Palmilla ,13299 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 O 0 0 ,O O 
Paredones ,6349 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O 0 ,O O 
Peralillo ,11848 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 O O O O ,O 0 
