,,,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas.,NotificacionoToma,deMuestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE SE SE 14 15 16 17 ,SE SE SE 18 19 20 ,SE 21 ,SE SE SE SE 22 23 24 25 
Bulnes& ,22607 ,236 ,1043.9 ,3 ,13.3 ,25 ,110.6 ,25 ,110.6 ,O 0 0 9 27 ,10 7 7 7 ,9 23 44 ,25 ,23 22 12 11 
Chillan& ,198624 ,930 ,468.2 ,9 ,4.5 ,206 ,103.7 ,205 ,103.2 ,O 1 28 119 117 ,76 33 25 17 ,16 21 62 ,58 ,67 112 95 83 
Chillan Viejo& ,33827 ,169 ,499.6 ,1 ,3.0 ,38 ,112.3 ,38 ,112.3 ,O O 5 7 19 ,7 14 3 1 ,O 4 15 ,22 ,11 30 17 14 
Cobquecura ,5275 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,0 O 0 O ,0 0 O ,O ,0 0 0 O 
Coelemu& ,16845 ,50 ,296.8 ,0 ,0.0 ,23 ,136.5 ,23 ,136.5 ,0 0 0 0 2 ,2 0 0 0 ,0 0 2 ,6 ,10 9 8 11 
Coihueco ,28375 ,73 ,257.3 ,3 ,10.6 ,18 ,63.4 ,17 ,59.9 ,O O O 2 3 ,4 6 12 12 ,3 1 8 ,1 ,1 5 9 6 
EI Carmen& ,12334 ,51 ,413.5 ,1 ,8.1 ,18 ,145.9 ,18 ,145.9 ,O O 0 2 O ,1 O O O ,0 1 3 ,7 ,15 4 13 5 
Ninhue ,5414 ,19 ,350.9 ,1 ,18.5 ,7 ,129.3 ,7 ,129.3 ,0 0 O 0 O ,2 0 2 0 ,O 0 1 ,3 ,2 2 6 1 
Niquen8 ,11567 ,60 ,518.7 ,1 ,8.6 ,24 ,207.5 ,24 ,207.5 ,O 0 O 1 O ,1 2 0 0 ,1 0 5 ,3 ,11 17 18 1 
Pemuco& ,8639 ,49 ,567.2 ,0 ,0.0 ,27 ,312.5 ,27 ,312.5 ,O O O 1 O ,4 1 O O ,0 3 1 ,2 ,5 5 13 14 
Pinto ,11880 ,26 ,218.9 ,0 ,0.0 ,8 ,67.3 ,8 ,67.3 ,O O O 2 3 ,5 1 1 O ,O O 3 ,O ,2 1 O 8 
Portezuelo ,4940 ,7 ,141.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O ,O 0 0 0 ,0 1 4 ,2 ,0 0 0 O 
Quillon ,18777 ,116 ,617.8 ,2 ,10.7 ,39 ,207.7 ,39 ,207.7 ,O 0 0 8 8 ,8 1 0 2 ,2 2 9 ,6 ,13 25 18 14 
Quirihue ,12192 ,25 ,205.1 ,0 ,0.0 ,3 ,24.6 ,3 ,24.6 ,O 0 O 0 1 ,2 O 1 O ,1 7 4 ,1 ,4 2 1 1 
Ranquil ,6261 ,18 ,287.5 ,0 ,0.0 ,6 ,95.8 ,6 ,95.8 ,0 0 0 1 3 ,6 O 0 O ,0 1 O ,O ,0 1 4 2 
San Carlos& ,56252 ,266 ,472.9 ,2 ,3.6 ,136 ,241.8 ,136 ,241.8 ,O 0 2 5 10 ,9 2 3 3 ,4 7 7 ,12 ,28 60 87 27 
San Fabian8 ,4654 ,9 ,193.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 3 3 ,1 0 1 O ,0 0 0 ,1 ,O 0 0 O 
San Ignacio& ,16624 ,110 ,661.7 ,1 ,6.0 ,75 ,451.2 ,75 ,451.2 ,O 0 O 2 3 ,1 O 1 3 ,3 O 2 ,6 ,8 8 47 26 
San Nicolas& ,12172 ,54 ,443.6 ,1 ,8.2 ,8 ,65.7 ,8 ,65.7 ,0 0 0 2 6 ,5 4 O 0 ,0 2 3 ,9 ,8 9 4 2 
Treguaco ,5696 ,3 ,52.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O O O ,O O O O ,0 O 1 ,O ,O 2 0 O 
