,,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 ,SE SE SE SE 12 13 14 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 
Andacollo ,11791 ,25 ,212.0 ,1 ,8.5 ,2 ,17.0 ,2 ,17.0 ,0 O 0 ,O 0 0 0 O ,0 2 ,7 3 ,3 ,6 4 ,0 0 
Canela ,9546 ,6 ,62.9 ,0 ,0.0 ,2 ,21.0 ,2 ,21.0 ,0 O O ,O 0 O 0 O ,0 1 ,O 2 ,0 ,1 2 ,0 0 
Combarbala ,13884 ,20 ,144.1 ,0 ,0.0 ,1 ,7.2 ,1 ,7.2 ,O O 0 ,O 0 O 0 O ,0 2 ,3 4 ,3 ,5 3 ,O 0 
Coquimbo& ,256735 ,543 ,211.5 ,4 ,1.6 ,127 ,49.5 ,127 ,49.5 ,O O 4 ,13 3 1 1 4 ,7 16 ,78 81 ,60 ,136 104 ,35 0 
Illapel ,32801 ,55 ,167.7 ,0 ,0.0 ,10 ,30.5 ,10 ,30.5 ,O O O ,O 4 7 7 O ,O 1 ,O 1 ,4 ,19 8 ,4 0 
La Higuera ,4450 ,3 ,67.4 ,0 ,0.0 ,2 ,44.9 ,2 ,44.9 ,O O O ,O 0 O 0 O ,0 O ,O O ,0 ,1 2 ,0 0 
La Serena& ,249656 ,419 ,167.8 ,2 ,0.8 ,116 ,46.5 ,116 ,46.5 ,O O O ,3 6 4 2 3 ,5 13 ,50 44 ,66 ,93 92 ,38 0 
Los Vilos ,23374 ,13 ,55.6 ,0 ,0.0 ,4 ,17.1 ,4 ,17.1 ,O O O ,1 0 O O O ,O O ,1 O ,3 ,4 3 ,1 0 
Monte Patria& ,32527 ,100 ,307.4 ,1 ,3.1 ,24 ,73.8 ,24 ,73.8 ,O 0 O ,0 O O O O ,0 1 ,6 18 ,25 ,24 19 ,7 O 
Ovalle& ,121269 ,402 ,331.5 ,2 ,1.6 ,125 ,103.1 ,125 ,103.1 ,O 0 2 ,2 4 2 0 2 ,1 12 ,25 43 ,55 ,102 120 ,32 0 
Paiguano ,4675 ,5 ,107.0 ,0 ,0.0 ,1 ,21.4 ,1 ,21.4 ,O O 0 ,0 0 O 0 O ,O O ,O 0 ,2 ,2 1 ,0 0 
Punitaqui ,12165 ,33 ,271.3 ,1 ,8.2 ,3 ,24.7 ,3 ,24.7 ,0 0 O ,0 0 O 0 1 ,1 3 ,6 0 ,4 ,14 2 ,2 0 
Rio Hurtado ,4372 ,14 ,320.2 ,0 ,0.0 ,5 ,114.4 ,5 ,114.4 ,0 0 0 ,1 0 O 0 0 ,0 1 ,O 0 ,2 ,5 5 ,0 0 
Salamanca ,29110 ,44 ,151.2 ,0 ,0.0 ,7 ,24.0 ,7 ,24.0 ,0 0 0 ,1 2 1 2 1 ,0 3 ,2 2 ,5 ,14 11 ,0 0 
Vicuna& ,29741 ,23 ,77.3 ,0 ,0.0 ,3 ,10.1 ,3 ,10.1 ,O O O ,O 0 0 0 O ,1 3 ,5 3 ,4 ,4 3 ,0 0 
Total ,836096 ,1705 ,203.9 ,11 ,1.3 ,432 ,51.7 ,432 ,51.7 ,0 0 6 ,21 19 15 12 11 ,15 58 ,183 201 ,236 ,430 379 ,119 0 
