,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Task de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE 16 ,SE 17 ,SE SE 18 19 ,SE 20 ,SE SE 21 22 
Antofagasta ,425725 ,1243 ,292.0 ,285 ,66.9 ,280 ,65.8 ,O 1 2 28 31 ,40 58 ,106 ,157 ,210 288 ,238 ,84 O 
Calama8 ,190336 ,302 ,158.7 ,87 ,45.7 ,87 ,45.7 ,1 1 2 3 2 ,7 14 ,16 ,37 ,47 72 ,92 ,8 O 
Maria Elena ,6814 ,147 ,2157.3 ,29 ,425.6 ,29 ,425.6 ,1 O O O 0 ,O 5 ,9 ,16 ,42 42 ,29 ,3 O 
Mejillones ,14776 ,227 ,1536.3 ,33 ,223.3 ,33 ,223.3 ,O O O O 1 ,8 15 ,18 ,30 ,74 45 ,36 ,O O 
Ollague ,287 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O O ,O ,O ,O O ,O ,O O 
San Pedro de Atacama ,10434 ,5 ,47.9 ,1 ,9.6 ,1 ,9.6 ,O O O 2 1 ,1 O ,O ,O ,O O ,1 ,O O 
Sierra Gorda& ,1746 ,13 ,744.6 ,4 ,229.1 ,4 ,229.1 ,0 O 0 0 O ,O 0 ,O ,O ,3 5 ,5 ,0 O 
Taltal ,13657 ,25 ,183.1 ,13 ,95.2 ,12 ,87.9 ,O O O O 0 ,2 3 ,2 ,1 ,1 3 ,12 ,1 O 
Tocopilla ,28079 ,28 ,99.7 ,6 ,21.4 ,6 ,21.4 ,O O O 2 O ,4 5 ,O ,1 ,2 7 ,7 ,O O 
Total ,691854 ,1990 ,287.6 ,458 ,66.2 ,452 ,65.3 ,2 2 4 35 35 ,62 100 ,151 ,242 ,379 462 ,420 ,96 0 
