,,Numero,de,Casossegun,Sintomas,FechadeInicio,,de
,Numero de ,SE SE ,SE ,SE SE ,SE ,SE SE ,SE ,SE 
SEREMI de Notificacion ,casos ,9 10 ,11 ,12 13 ,14 ,15 16 ,17 ,18 
SEREMI De Arica y Parinacota ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De Tarapaca ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De Antofagasta ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De Atacama ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De Coquimbo ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De Valparaiso ,1 ,O O ,O ,O 1 ,O ,O O ,O ,O 
SEREMI Metropolitana de Santiago ,4 ,O O ,O ,O O ,O ,O 1 ,2 ,1 
SEREMI Del Libertador Gral B O'Higgins ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI Del Maule ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI Del Nuble ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI Del Biobio ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De La Araucania ,1 ,O O ,O ,O O ,O ,1 O ,O ,O 
SEREMI De Los Rios ,O ,O O ,O ,O O ,O ,O O ,O ,O 
SEREMI De Los Lagos ,21 ,O O ,9 ,10 1 ,1 ,O O ,O ,O 
SEREMI De Aisen del General Carlos Ibanez del Campo ,1 ,O O ,1 ,O O ,O ,O O ,O ,O 
SEREMI De Magallanes y la Antartica Chilena ,2 ,O O ,O ,1 O ,O ,O 1 ,O ,O 
Total pais ,30 ,0 0 ,10 ,11 2 ,1 ,1 2 ,2 ,1 
