Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& 44143 ,410 ,928.8 ,9 ,20.4 ,7 ,15.9 ,7 ,15.9 
Chanco ,9331 ,52 ,557.3 ,1 ,10.7 ,4 ,42.9 ,4 ,42.9 
Colbun ,22565 ,242 ,1072.5 ,1 ,4.4 ,39 ,172.8 ,39 ,172.8 
Constitucion ,50348 ,401 ,796.5 ,6 ,11.9 ,33 ,65.5 ,33 ,65.5 
Curepto ,9426 ,77 ,816.9 ,4 ,42.4 ,25 ,265.2 ,25 ,265.2 
Curico ,& 163626 ,2217 ,1354.9 ,54 ,33.0 ,87 ,53.2 ,86 ,52.6 
Empedrado ,4206 ,33 ,784.6 ,0 ,0.0 ,1 ,23.8 ,1 ,23.8 
Hualane ,10222 ,116 ,1134.8 ,2 ,19.6 ,1 ,9.8 ,1 ,9.8 
Licanten ,6989 ,26 ,372.0 ,3 ,42.9 ,2 ,28.6 ,2 ,28.6 
Linares ,101073 ,860 ,850.9 ,18 ,17.8 ,105 ,103.9 ,103 ,101.9 
Longavi ,32810 ,311 ,947.9 ,2 ,6.1 ,36 ,109.7 ,36 ,109.7 
Maule ,60000 ,516 ,860.0 ,4 ,6.7 ,53 ,88.3 ,53 ,88.3 
Molina ,49800 ,326 ,654.6 ,13 ,26.1 ,44 ,88.4 ,44 ,88.4 
Parral ,44544 ,297 ,666.8 ,3 ,6.7 ,17 ,38.2 ,17 ,38.2 
Pelarco ,9083 ,134 ,1475.3 ,2 ,22.0 ,8 ,88.1 ,8 ,88.1 
Pelluhue ,8092 ,75 ,926.8 ,3 ,37.1 ,5 ,61.8 ,5 ,61.8 
Pencahue ,8601 ,57 ,662.7 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Rauco ,11248 ,117 ,1040.2 ,1 ,8.9 ,6 ,53.3 ,6 ,53.3 
Retiro ,21071 ,164 ,778.3 ,O ,0.0 ,15 ,71.2 ,15 ,71.2 
Rio Claro ,14753 ,115 ,779.5 ,6 ,40.7 ,15 ,101.7 ,15 ,101.7 
Romeral ,& 16170 ,289 ,1787.3 ,5 ,30.9 ,19 ,117.5 ,19 ,117.5 
