,,,,,,,NumerodeCasos,segunFechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE 19 20 ,SE 21 ,SE 22 ,SE SE 23 24 
Antofagasta & ,425725 ,1876 ,440.7 ,309 ,72.6 ,307 ,72.1 ,O 1 2 28 31 41 ,58 106 159 214 ,299 307 ,287 ,245 ,98 O 
Calama ,190336 ,756 ,397.2 ,96 ,50.4 ,92 ,48.3 ,1 1 2 3 2 7 ,14 16 38 49 ,82 215 ,204 ,117 ,5 O 
Maria Elena & ,6814 ,168 ,2465.5 ,8 ,117.4 ,8 ,117.4 ,1 O O O O O ,5 9 16 42 ,42 30 ,13 ,9 ,1 0 
Mejillones ,14776 ,279 ,1888.2 ,15 ,101.5 ,13 ,88.0 ,0 0 0 O 1 8 ,15 18 30 76 ,45 51 ,19 ,15 ,1 0 
Ollague ,287 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 0 O ,0 O 0 O ,O 0 ,O ,0 ,0 0 
& San Pedro de Atacama ,10434 ,11 ,105.4 ,1 ,9.6 ,1 ,9.6 ,0 O O 2 1 1 ,0 O 1 O ,0 1 ,4 ,1 ,0 0 
Sierra Gorda ,1746 ,21 ,1202.7 ,5 ,286.4 ,5 ,286.4 ,0 O O 0 0 O ,0 O 0 3 ,5 5 ,3 ,5 ,0 0 
Taltal ,13657 ,37 ,270.9 ,7 ,51.3 ,7 ,51.3 ,0 0 0 0 0 2 ,3 2 1 1 ,3 12 ,6 ,6 ,1 0 
Tocopilla ,28079 ,38 ,135.3 ,3 ,10.7 ,3 ,10.7 ,0 O O 2 0 4 ,5 O 1 2 ,7 8 ,6 ,1 ,2 O 
Tota ,691854 ,3186 ,460.5 ,444 ,64.2 ,436 ,63.0 ,2 2 4 35 35 63 ,100 151 246 387 ,483 629 ,542 ,399 ,108 0 
