,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Algarrobo ,15.174 ,9 ,"59,3 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,1 ,3 ,4 ,1 ,O ,0 
Cabildo ,20.663 ,O ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",O ,0 ,0 ,0 ,0 ,0 ,O ,0 
Calera ,53.591 ,13 ,"24,3 ",5 ,"9,3 ",5 ,"9,3 ",O ,O ,0 ,2 ,6 ,2 ,3 ,0 
Calle Larga ,16.482 ,4 ,"24,3 ",3 ,"18,2 ",3 ,"18,2 ",O ,O ,0 ,0 ,0 ,1 ,3 ,0 
Cartagena ,25.357 ,2 ,"7,9 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,0 ,0 ,2 ,O ,O 
Casablanca ,29.170 ,3 ,"10,3 ",1 ,"3,4 ",1 ,"3,4 ",O ,O ,0 ,1 ,0 ,1 ,1 ,0 
Catemu ,15.213 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,O ,0 ,O ,O ,O ,O ,O 
Concon ,45.889 ,7 ,"15,3 ",1 ,"2,2 ",1 ,"2,2 ",O ,O ,O ,1 ,4 ,2 ,O ,O 
EI Quisco ,17.742 ,6 ,"33,8 ",3 ,"16,9 ",2 ,"11,3 ",O ,O ,0 ,1 ,0 ,3 ,1 ,1 
EI Tabo ,14.338 ,6 ,"41,8 ",1 ,"7,0 ",1 ,"7,0 ",O ,0 ,0 ,0 ,2 ,3 ,O ,1 
Hijuelas ,19.099 ,O ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",O ,O ,0 ,0 ,0 ,0 ,O ,0 
Isla de Pascua & ,8.277 ,5 ,"60,4 ",O ,"0,0 ",O ,"0,0 ",O ,O ,O ,2 ,1 ,2 ,O ,0 
Juan Fernandez ,1.033 ,0 ,"0,0 ",O ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
La Cruz ,25.321 ,5 ,"19,7 ",2 ,"7,9 ",2 ,"7,9 ",O ,1 ,0 ,0 ,1 ,2 ,1 ,0 
La Ligua ,37.739 ,2 ,"5,3 ",0 ,"0,0 ",0 ,"0,0 ",O ,0 ,0 ,1 ,0 ,1 ,O ,0 
Limache ,49.931 ,20 ,"40,1 ",11 ,"22,0 ",11 ,"22,0 ",O ,0 ,0 ,3 ,0 ,6 ,9 ,2 
Llaillay ,26.533 ,2 ,"7,5 ",O ,"0,0 ",O ,"0,0 ",O ,O ,0 ,1 ,1 ,0 ,O ,O 
Los Andes ,68.093 ,9 ,"13,2 ",5 ,"7,3 ",4 ,"5,9 ",O ,O ,0 ,1 ,2 ,2 ,4 ,0 
Nogales ,23.490 ,0 ,"0,0 ",O ,"0,0 ",O ,"0,0 ",0 ,O ,O ,O ,O ,0 ,O ,O 
