,,,,,,,,Numero,deCasos,segunFechade,Iniciode,Sintomas.,NotificacionoToma,de,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE SE 16 17 18 ,SE 19 ,SE SE 20 21 ,SE SE 22 23 ,SE 24 ,SE SE 25 26 
Alto Biobio ,6775 ,162 ,2391.1 ,0 ,0.0 ,12 ,177.1 ,12 ,177.1 ,0 0 O 0 ,0 ,0 0 ,0 0 0 ,0 ,7 45 ,55 31 ,12 ,10 2 
Antuco ,4306 ,45 ,1045.1 ,0 ,0.0 ,20 ,464.5 ,20 ,464.5 ,0 0 0 0 ,0 ,0 0 ,0 0 0 ,2 ,2 1 ,13 2 ,5 ,17 3 
Arauco ,38679 ,224 ,579.1 ,1 ,2.6 ,100 ,258.5 ,100 ,258.5 ,0 0 1 2 ,2 ,1 O ,0 0 5 ,4 ,14 17 ,24 22 ,32 ,65 35 
Cabrero& ,30725 ,130 ,423.1 ,O ,0.0 ,61 ,198.5 ,61 ,198.5 ,O 0 0 1 ,0 ,4 3 ,7 1 3 ,4 ,2 3 ,3 8 ,30 ,46 15 
Canete ,37003 ,33 ,89.2 ,O ,0.0 ,11 ,29.7 ,11 ,29.7 ,0 0 O 0 ,0 ,0 0 ,0 0 0 ,0 ,1 9 ,4 7 ,1 ,7 4 
Chiguayante ,91180 ,305 ,334.5 ,7 ,7.7 ,80 ,87.7 ,80 ,87.7 ,O 0 5 5 ,9 ,16 11 ,10 12 8 ,7 ,9 9 ,26 40 ,58 ,50 30 
Concepcion& ,238092 ,1108 ,465.4 ,17 ,7.1 ,337 ,141.5 ,336 ,141.1 ,1 1 7 28 ,30 ,23 22 ,18 14 19 ,19 ,21 91 ,99 132 ,246 ,244 93 
Contulmo ,6330 ,32 ,505.5 ,O ,0.0 ,30 ,473.9 ,30 ,473.9 ,0 0 O 0 ,0 ,O 0 ,0 0 0 ,O ,0 1 ,1 O ,O ,10 20 
Coronel ,125829 ,788 ,626.2 ,2 ,1.6 ,290 ,230.5 ,290 ,230.5 ,O O 1 6 ,7 ,4 1 ,0 5 2 ,14 ,15 50 ,130 112 ,151 ,210 80 
Curanilahue ,33892 ,55 ,162.3 ,1 ,3.0 ,24 ,70.8 ,24 ,70.8 ,O 0 O 1 ,0 ,O 0 ,0 0 1 ,3 ,O 2 ,4 11 ,9 ,17 7 
Florida ,11841 ,28 ,236.5 ,2 ,16.9 ,14 ,118.2 ,14 ,118.2 ,0 0 0 0 ,2 ,1 0 ,0 0 0 ,2 ,O 2 ,O 0 ,7 ,7 7 
Hualpen& ,97273 ,407 ,418.4 ,3 ,3.1 ,129 ,132.6 ,128 ,131.6 ,0 0 3 23 ,33 ,27 17 ,8 2 6 ,11 ,9 17 ,29 24 ,69 ,80 49 
Hualqui ,26201 ,136 ,519.1 ,3 ,11.4 ,59 ,225.2 ,59 ,225.2 ,O O 1 1 ,2 ,3 4 ,9 O 1 ,2 ,5 12 ,7 13 ,17 ,38 21 
Laja ,23873 ,110 ,460.8 ,O ,0.0 ,26 ,108.9 ,26 ,108.9 ,O 1 1 0 ,3 ,1 1 ,1 5 1 ,17 ,20 8 ,7 8 ,10 ,15 11 
Lebu ,27100 ,28 ,103.3 ,O ,0.0 ,9 ,33.2 ,9 ,33.2 ,O 0 O 0 ,0 ,O 0 ,0 0 1 ,1 ,O 0 ,6 6 ,5 ,8 1 
Los Alamos ,22524 ,64 ,284.1 ,O ,0.0 ,50 ,222.0 ,50 ,222.0 ,O 0 O 0 ,O ,O 1 ,0 O 1 ,O ,1 O ,3 4 ,4 ,39 11 
Los Angeles& ,218515 ,678 ,310.3 ,2 ,0.9 ,198 ,90.6 ,198 ,90.6 ,O O 3 6 ,9 ,6 5 ,4 O 4 ,32 ,64 90 ,79 89 ,89 ,126 72 
Lota& ,45750 ,219 ,478.7 ,O ,0.0 ,90 ,196.7 ,90 ,196.7 ,O O O 1 ,O ,1 O ,0 0 1 ,16 ,10 15 ,21 22 ,42 ,62 28 
Mulchen ,31041 ,52 ,167.5 ,O ,0.0 ,23 ,74.1 ,23 ,74.1 ,O O 0 1 ,4 ,O O ,0 0 2 ,3 ,1 1 ,11 3 ,3 ,12 11 
Nacimiento ,27944 ,107 ,382.9 ,3 ,10.7 ,41 ,146.7 ,41 ,146.7 ,O O O 2 ,3 ,3 2 ,O 1 3 ,8 ,4 8 ,7 5 ,20 ,28 13 
