,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 ,SE SE 19 20 
Alto Biobio ,6775 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 O O ,O O ,O 0 O O ,0 0 
Antuco ,4306 ,4 ,92.9 ,3 ,69.7 ,3 ,69.7 ,0 0 O 0 ,O O ,0 O O 0 ,2 2 
Arauco ,38679 ,18 ,46.5 ,6 ,15.5 ,6 ,15.5 ,0 0 1 2 ,2 1 ,0 0 0 5 ,4 3 
Cabrero ,30725 ,24 ,78.1 ,5 ,16.3 ,5 ,16.3 ,0 0 O 1 ,O 4 ,3 7 1 3 ,4 1 
Canete ,37003 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O O ,0 O ,O 0 O 0 ,0 0 
Chiguayante& ,91180 ,84 ,92.1 ,9 ,9.9 ,9 ,9.9 ,O 0 5 5 ,9 16 ,11 10 11 8 ,5 4 
Concepcion& ,238092 ,184 ,77.3 ,26 ,10.9 ,26 ,10.9 ,1 1 6 28 ,28 22 ,21 18 14 19 ,17 9 
Contulmo ,6330 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 0 ,0 O ,0 0 0 O ,0 0 
Coronel ,125829 ,46 ,36.6 ,21 ,16.7 ,21 ,16.7 ,0 0 1 6 ,6 4 ,1 0 5 2 ,12 9 
Curanilahue ,33892 ,5 ,14.8 ,3 ,8.9 ,3 ,8.9 ,0 0 O 1 ,0 0 ,0 0 0 1 ,3 0 
Florida ,11841 ,3 ,25.3 ,O ,0.0 ,0 ,0.0 ,0 0 0 0 ,2 1 ,O O O 0 ,0 O 
Hualpen& ,97273 ,133 ,136.7 ,14 ,14.4 ,14 ,14.4 ,0 0 3 23 ,33 27 ,17 8 2 5 ,11 4 
Hualqui ,26201 ,24 ,91.6 ,4 ,15.3 ,4 ,15.3 ,O 0 1 1 ,2 3 ,4 9 O 0 ,2 2 
Laja ,23873 ,51 ,213.6 ,34 ,142.4 ,34 ,142.4 ,0 1 1 O ,3 1 ,1 1 5 1 ,17 20 
Lebu ,27100 ,2 ,7.4 ,1 ,3.7 ,1 ,3.7 ,0 0 O O ,O O ,O O O 1 ,1 O 
LOs Alamos ,22524 ,1 ,4.4 ,0 ,0.0 ,0 ,0.0 ,0 0 O O ,0 O ,1 0 0 0 ,0 0 
LOs Angeles& ,218515 ,96 ,43.9 ,61 ,27.9 ,61 ,27.9 ,0 0 3 6 ,9 6 ,5 3 O 2 ,28 34 
Lota ,45750 ,24 ,52.5 ,21 ,45.9 ,21 ,45.9 ,0 0 O 1 ,0 0 ,0 0 0 1 ,16 6 
Mulchen ,31041 ,11 ,35.4 ,3 ,9.7 ,3 ,9.7 ,0 O O 1 ,4 O ,0 O O 2 ,3 1 
Nacimiento ,27944 ,24 ,85.9 ,8 ,28.6 ,8 ,28.6 ,O 0 0 2 ,3 3 ,2 0 1 3 ,8 2 
Negrete ,10429 ,16 ,153.4 ,14 ,134.2 ,14 ,134.2 ,0 0 0 0 ,0 2 ,0 0 O 0 ,7 7 
