,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,1121 ,2.0 ,184.8 ,1039 ,2.1 ,178.0 ,2160 ,2.1 ,181.5 
05 09 anos ,820 ,1.5 ,125.6 ,788 ,1.6 ,125.2 ,1608 ,1.5 ,125.4 
10 14 anos ,948 ,1.7 ,147.2 ,923 ,1.9 ,148.5 ,1871 ,1.8 ,147.9 
15 19 anos ,1552 ,2.8 ,242.3 ,1754 ,3.5 ,283.2 ,3306 ,3.1 ,262.4 
20 24 anos ,4255 ,7.7 ,580.5 ,4005 ,8.1 ,563.9 ,8260 ,7.9 ,572.3 
25 29 anos ,7069 ,12.7 ,844.2 ,6687 ,13.5 ,823.7 ,13756 ,13.1 ,834.1 
30 34 anos ,7309 ,13.2 ,902.1 ,6293 ,12.7 ,800.7 ,13602 ,12.9 ,852.1 
35 39 anos ,6016 ,10.8 ,829.4 ,5000 ,10.1 ,704.3 ,11016 ,10.5 ,767.5 
40 44 anos ,5006 ,9.0 ,741.3 ,4170 ,8.4 ,620.8 ,9176 ,8.7 ,681.2 
45 49 anos ,4790 ,8.6 ,758.9 ,4184 ,8.4 ,653.4 ,8974 ,8.5 ,705.8 
50 54 anos ,4458 ,8.0 ,741.7 ,3822 ,7.7 ,613.1 ,8280 ,7.9 ,676.2 
55 59 anos ,4083 ,7.4 ,735.9 ,3454 ,7.0 ,584.8 ,7537 ,7.2 ,658.0 
60 64 anos ,3053 ,5.5 ,648.2 ,2407 ,4.8 ,464.3 ,5460 ,5.2 ,551.9 
65 69 anos ,1829 ,3.3 ,482.7 ,1547 ,3.1 ,355.1 ,3376 ,3.2 ,414.4 
70 74 anos ,1316 ,2.4 ,498.3 ,1178 ,2.4 ,368.9 ,2494 ,2.4 ,427.5 
75 79 anos ,875 ,1.6 ,496.0 ,880 ,1.8 ,370.7 ,1755 ,1.7 ,424.1 
80 y mas anos ,1001 ,1.8 ,509.4 ,1525 ,3.1 ,435.3 ,2526 ,2.4 ,461.9 
Total ,55501 ,100 ,,49656 ,100 ,,105157 ,100 ,
