,,,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas.NotificacionoTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ,SE SE SE 24 25 26 
Alto del Carmen ,5729 ,6 ,104.7 ,0 ,0.0 ,2 ,34.9 ,2 ,34.9 ,0 O 0 O O 0 0 0 0 O 0 O O 1 3 ,1 1 0 
Caldera ,19426 ,20 ,103.0 ,0 ,0.0 ,7 ,36.0 ,7 ,36.0 ,O 0 0 0 0 0 0 0 0 2 2 1 1 3 2 ,6 3 0 
Chanaral ,13164 ,20 ,151.9 ,O ,0.0 ,15 ,113.9 ,15 ,113.9 ,0 0 0 0 O 0 0 0 0 O 0 0 1 0 2 ,7 10 0 
Copiapo& ,171766 ,474 ,276.0 ,O ,0.0 ,158 ,92.0 ,158 ,92.0 ,0 0 1 0 2 1 4 0 12 28 28 14 25 58 114 ,126 61 0 
Diego de Almagro ,14358 ,35 ,243.8 ,1 ,7.0 ,6 ,41.8 ,6 ,41.8 ,1 O 0 0 1 0 0 0 0 1 1 4 3 6 6 ,9 3 0 
Freirina ,7681 ,8 ,104.2 ,0 ,0.0 ,5 ,65.1 ,5 ,65.1 ,0 0 0 0 0 0 0 1 0 0 0 0 O 0 2 ,1 4 0 
Huasco ,11264 ,15 ,133.2 ,0 ,0.0 ,6 ,53.3 ,6 ,53.3 ,O 0 0 0 0 0 0 0 0 1 0 0 0 2 6 ,5 1 0 
Tierra Amarilla& ,14312 ,57 ,398.3 ,0 ,0.0 ,21 ,146.7 ,21 ,146.7 ,0 0 0 0 0 2 3 0 2 5 11 2 O 1 9 ,15 7 0 
Vallenar& ,57009 ,181 ,317.5 ,0 ,0.0 ,76 ,133.3 ,76 ,133.3 ,O O 0 O O O 1 9 12 9 13 2 6 15 28 ,55 31 O 
Desconocido& ,- ,3 ,- ,0 ,- ,3 ,- ,3 ,- ,0 O 0 O O O 0 0 O O 0 O O O 0 ,O 3 O 
Total ,314709 ,819 ,260.2 ,1 ,0.3 ,299 ,95.0 ,299 ,95.0 ,1 0 1 0 3 3 8 10 26 46 55 23 36 86 172 ,225 124 0 
