,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,No ,% ,No ,% 
Tos ,23101 ,61.5 ,210025 ,53.5 
Fiebre ,17544 ,46.7 ,131873 ,33.6 
Mialgia ,16553 ,44.1 ,212288 ,54.1 
Disnea ,15737 ,41.9 ,41079 ,10.5 
Cefalea ,13433 ,35.8 ,229975 ,58.6 
Odinofagia ,6777 ,18.0 ,127920 ,32.6 
Taquipnea ,4589 ,12.2 ,3765 ,1.0 
Dolor toracico ,4407 ,11.7 ,34133 ,8.7 
Otros ,4269 ,11.4 ,39002 ,9.9 
Diarrea ,3361 ,8.9 ,39736 ,10.1 
Dolor abdominal ,2615 ,7.0 ,23545 ,6.0 
Anosmia* ,2275 ,6.1 ,72405 ,18.5 
Ageusia* ,1977 ,5.3 ,57332 ,14.6 
Postracion ,806 ,2.1 ,1902 ,0.5 
Cianosis ,745 ,2.0 ,325 ,0.1 
