,,,Numerode,Casos,segun,Fechade,Inicio,deSintomas.,,Notificacion,O,Tomade,Muestra,,
de Notificacion Toma de Muestra ,Residencia ,SE SE SE SE ,SE SE ,SE ,SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE 
Region O ,Desconocida ,9 10 11 12 ,13 14 ,15 ,16 ,17 18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 
Region de Arica y Parinacota ,3 ,O O O 1 ,O O ,1 ,O ,O O ,O ,O ,1 ,O ,O ,O ,O ,O ,O 
Region de Tarapaca ,302 ,O O O O ,O 1 ,O ,O ,O 3 ,96 ,28 ,29 ,23 ,36 ,27 ,19 ,22 ,18 
Region de Antofagasta ,139 ,O O O O ,O O ,O ,O ,4 O ,O ,1 ,O ,O ,4 ,12 ,40 ,36 ,42 
Region de Atacama ,10 ,0 O O O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,6 ,4 ,O 
Region de Coquimbo ,140 ,O O O 1 ,O 1 ,O ,1 ,1 1 ,1 ,3 ,9 ,7 ,10 ,28 ,14 ,27 ,36 
Region de Valparaiso ,356 ,O O O 1 ,3 2 ,1 ,1 ,O O ,11 ,7 ,6 ,36 ,31 ,38 ,67 ,65 ,87 
Region Metropolitana de Santiago ,19020 ,O O 4 11 ,11 56 ,176 ,353 ,563 729 ,1573 ,2630 ,2837 ,2163 ,1945 ,1728 ,1871 ,1352 ,1018 
Region del Libertador General Bernardo OHiggins ,129 ,O O O O ,O O ,2 ,O ,O O ,O ,3 ,12 ,O ,5 ,7 ,46 ,32 ,22 
Region del Maule ,39 ,O O O O ,O 0 ,O ,O ,1 O ,0 ,1 ,O ,4 ,6 ,7 ,13 ,4 ,3 
Region del Nuble ,10 ,O O O O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,10 
Region del Biobio ,176 ,O O O 1 ,O O ,O ,O ,O O ,1 ,1 ,8 ,7 ,10 ,12 ,52 ,52 ,32 
Region de la Araucania ,9 ,0 0 0 0 ,1 1 ,0 ,0 ,O O ,0 ,1 ,1 ,1 ,0 ,1 ,2 ,O ,1 
Region de Los Rios ,6 ,O O O 1 ,O O ,O ,2 ,O O ,O ,O ,O ,1 ,O ,1 ,1 ,O ,O 
Region de Los Lagos ,54 ,O O 9 10 ,3 1 ,O ,O ,2 O ,3 ,1 ,2 ,3 ,1 ,2 ,5 ,6 ,6 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 O ,O O ,O ,O ,O O ,O ,O ,O ,O ,O ,O ,O ,O ,O 
Region de Magallanes y la Antartica Chilena ,68 ,O O O 1 ,O 1 ,42 ,14 ,4 2 ,1 ,O ,O ,0 ,O ,0 ,2 ,O ,1 
