Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& 44143 ,416 ,942.4 ,10 ,22.7 ,11 ,24.9 ,11 ,24.9 
Chanco ,9331 ,52 ,557.3 ,1 ,10.7 ,3 ,32.2 ,3 ,32.2 
Colbun ,22565 ,244 ,1081.3 ,1 ,4.4 ,38 ,168.4 ,38 ,168.4 
Constitucion ,50348 ,412 ,818.3 ,6 ,11.9 ,31 ,61.6 ,31 ,61.6 
Curepto ,9426 ,88 ,933.6 ,4 ,42.4 ,34 ,360.7 ,34 ,360.7 
Curico ,& 163626 ,2260 ,1381.2 ,58 ,35.4 ,84 ,51.3 ,83 ,50.7 
Empedrado ,4206 ,33 ,784.6 ,0 ,0.0 ,1 ,23.8 ,1 ,23.8 
Hualane ,10222 ,116 ,1134.8 ,2 ,19.6 ,1 ,9.8 ,1 ,9.8 
Licanten ,6989 ,26 ,372.0 ,3 ,42.9 ,1 ,14.3 ,1 ,14.3 
Linares ,& 101073 ,885 ,875.6 ,20 ,19.8 ,99 ,97.9 ,99 ,97.9 
Longavi ,& 32810 ,320 ,975.3 ,3 ,9.1 ,37 ,112.8 ,37 ,112.8 
Maule ,& 60000 ,545 ,908.3 ,4 ,6.7 ,68 ,113.3 ,68 ,113.3 
Molina ,49800 ,334 ,670.7 ,13 ,26.1 ,37 ,74.3 ,37 ,74.3 
Parral ,44544 ,301 ,675.7 ,3 ,6.7 ,18 ,40.4 ,18 ,40.4 
Pelarco ,9083 ,135 ,1486.3 ,3 ,33.0 ,5 ,55.0 ,5 ,55.0 
Pelluhue ,& 8092 ,78 ,963.9 ,3 ,37.1 ,5 ,61.8 ,5 ,61.8 
Pencahue ,8601 ,57 ,662.7 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Rauco ,& 11248 ,119 ,1058.0 ,1 ,8.9 ,6 ,53.3 ,6 ,53.3 
Retiro ,21071 ,169 ,802.1 ,O ,0.0 ,14 ,66.4 ,14 ,66.4 
Rio Claro ,14753 ,116 ,786.3 ,6 ,40.7 ,12 ,81.3 ,12 ,81.3 
Romeral ,& 16170 ,300 ,1855.3 ,6 ,37.1 ,18 ,111.3 ,18 ,111.3 
