Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol ,56058 ,537 ,957.9 ,10 ,17.8 ,36 ,64.2 ,36 ,64.2 
Carahue ,& 25486 ,121 ,474.8 ,O ,0.0 ,7 ,27.5 ,7 ,27.5 
Cholchol ,12341 ,40 ,324.1 ,0 ,0.0 ,1 ,8.1 ,1 ,8.1 
Collipulli ,26148 ,136 ,520.1 ,3 ,11.5 ,51 ,195.0 ,51 ,195.0 
Cunco ,18055 ,101 ,559.4 ,2 ,11.1 ,11 ,60.9 ,11 ,60.9 
Curacautin ,18178 ,35 ,192.5 ,1 ,5.5 ,1 ,5.5 ,1 ,5.5 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,0 ,0.0 
Ercilla ,8458 ,67 ,792.1 ,1 ,11.8 ,11 ,130.1 ,11 ,130.1 
Freire ,25446 ,125 ,491.2 ,1 ,3.9 ,2 ,7.9 ,2 ,7.9 
Galvarino ,12633 ,134 ,1060.7 ,0 ,0.0 ,1 ,7.9 ,1 ,7.9 
Gorbea ,15148 ,45 ,297.1 ,1 ,6.6 ,5 ,33.0 ,5 ,33.0 
Lautaro ,40746 ,183 ,449.1 ,3 ,7.4 ,13 ,31.9 ,13 ,31.9 
Loncoche ,24739 ,83 ,335.5 ,1 ,4.0 ,0 ,0.0 ,O ,0.0 
Lonquimay ,11049 ,71 ,642.6 ,2 ,18.1 ,0 ,0.0 ,0 ,0.0 
Los Sauces ,7517 ,59 ,784.9 ,0 ,0.0 ,4 ,53.2 ,4 ,53.2 
Lumaco ,10050 ,43 ,427.9 ,O ,0.0 ,1 ,10.0 ,1 ,10.0 
Melipeuco ,6265 ,13 ,207.5 ,0 ,0.0 ,1 ,16.0 ,1 ,16.0 
Nueva Imperial ,& 33777 ,143 ,423.4 ,3 ,8.9 ,5 ,14.8 ,5 ,14.8 
Padre Las Casas ,82110 ,242 ,294.7 ,6 ,7.3 ,13 ,15.8 ,13 ,15.8 
Perquenco ,7223 ,55 ,761.5 ,0 ,0.0 ,11 ,152.3 ,11 ,152.3 
Pitrufquen ,26096 ,106 ,406.2 ,0 ,0.0 ,3 ,11.5 ,3 ,11.5 
