,,,,,,,Numero,deCasos,segun,FechadeInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Angol ,56058 ,36 ,64.2 ,18 ,32.1 ,17 ,30.3 ,0 ,0 ,1 ,3 ,11 ,8 ,13 ,0 
Carahue ,25486 ,20 ,78.5 ,15 ,58.9 ,15 ,58.9 ,0 ,0 ,O ,1 ,3 ,9 ,7 ,0 
Cholchol ,12341 ,4 ,32.4 ,O ,0.0 ,O ,0.0 ,0 ,O ,O ,1 ,3 ,O ,O ,O 
Collipulli ,26148 ,1 ,3.8 ,1 ,3.8 ,1 ,3.8 ,0 ,0 ,0 ,0 ,O ,1 ,O ,0 
Cunco ,18055 ,6 ,33.2 ,3 ,16.6 ,2 ,11.1 ,0 ,0 ,0 ,O ,3 ,3 ,O ,0 
Curacautin ,18178 ,5 ,27.5 ,2 ,11.0 ,2 ,11.0 ,0 ,0 ,O ,2 ,O ,3 ,O ,O 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O ,O ,1 ,1 ,2 ,O ,O ,O 
Ercilla ,8458 ,3 ,35.5 ,2 ,23.6 ,2 ,23.6 ,O ,O ,O ,O ,O ,3 ,0 ,0 
Freire ,25446 ,5 ,19.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,2 ,3 ,O ,O ,O 
Galvarino ,12633 ,2 ,15.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,1 ,1 ,O ,0 
Gorbea ,15148 ,10 ,66.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,1 ,4 ,4 ,1 ,0 ,0 
Lautaro ,40746 ,25 ,61.4 ,11 ,27.0 ,10 ,24.5 ,1 ,O ,O ,5 ,4 ,14 ,1 ,O 
Loncoche ,24739 ,9 ,36.4 ,3 ,12.1 ,3 ,12.1 ,0 ,0 ,0 ,2 ,2 ,2 ,3 ,0 
Lonquimay ,11049 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,O ,0 ,0 ,0 
Los Sauces ,7517 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,0 ,0 ,0 ,O ,0 
Lumaco ,10050 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,O ,O ,O ,0 
Melipeuco ,6265 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,0 ,O ,O ,0 ,O 
Nueva Imperial ,33777 ,32 ,94.7 ,12 ,35.5 ,11 ,32.6 ,O ,0 ,O ,6 ,10 ,6 ,10 ,0 
Padre Las Casas ,82110 ,52 ,63.3 ,17 ,20.7 ,15 ,18.3 ,0 ,0 ,O ,11 ,19 ,15 ,7 ,O 
Perquenco ,7223 ,3 ,41.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,1 ,1 ,1 ,O ,0 
