,Sin,Hospitalizacion,Hospitalizados,
Signos / Sintoma ,No ,% ,N ,% 
Cefalea ,87154 ,59.2 ,8309 ,61.2 
Tos ,83726 ,56.8 ,6813 ,50.2 
Mialgia ,83092 ,56.4 ,5872 ,43.3 
Fiebre ,61082 ,41.5 ,5597 ,41.3 
Odinofagia ,50081 ,34.0 ,4444 ,32.8 
Anosmia ,24235 ,16.5 ,2479 ,18.3 
Ageusia ,18803 ,12.8 ,1856 ,13.7 
Disnea ,15766 ,10.7 ,1455 ,10.7 
Diarrea ,13609 ,9.2 ,1100 ,8.1 
Dolor toracico ,11988 ,8.1 ,849 ,6.3 
Dolor abdominal ,8105 ,5.5 ,626 ,4.6 
Taquipnea ,1626 ,1.1 ,531 ,3.9 
Cianosis ,147 ,0.1 ,287 ,2.1 
