Fecha,Fechanotificacion,Fechaprimerossintomas
22-02-20 ,O ,1 
23-02-20 ,O ,1 
24-02-20 ,0 ,2 
25-02-20 ,0 ,11 
26-02-20 ,O ,3 
27-02-20 ,0 ,4 
28-02-20 ,1 ,4 
29-02-20 ,O ,1 
01-03-20 ,0 ,10 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,9 
05-03-20 ,4 ,31 
06-03-20 ,2 ,15 
07-03-20 ,2 ,14 
08-03-20 ,6 ,23 
09-03-20 ,2 ,35 
10-03-20 ,12 ,67 
11-03-20 ,17 ,51 
12-03-20 ,14 ,70 
13-03-20 ,24 ,118 
14-03-20 ,49 ,153 
15-03-20 ,50 ,178 
16-03-20 ,87 ,283 
17-03-20 ,151 ,259 
18-03-20 ,113 ,273 
19-03-20 ,156 ,299 
20-03-20 ,177 ,369 
21-03-20 ,168 ,316 
22-03-20 ,160 ,305 
23-03-20 ,216 ,397 
24-03-20 ,291 ,336 
25-03-20 ,362 ,346 
26-03-20 ,381 ,349 
27-03-20 ,391 ,360 
28-03-20 ,285 ,328 
29-03-20 ,307 ,293 
30-03-20 ,387 ,396 
31-03-20 ,363 ,339 
01-04-20 ,355 ,485 
02-04-20 ,453 ,402 
03-04-20 ,433 ,398 
04-04-20 ,334 ,387 
05-04-20 ,257 ,360 
06-04-20 ,515 ,480 
07-04-20 ,546 ,436 
08-04-20 ,490 ,421 
09-04-20 ,475 ,471 
10-04-20 ,269 ,473 
11-04-20 ,319 ,372 
