,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE 16 ,SE SE 17 18 ,SE SE SE SE SE 19 20 21 22 23 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 0 ,0 O 0 ,0 ,0 0 ,0 0 O 0 0 
Cabo de Hornos8 ,1983 ,21 ,1059.0 ,1 ,50.4 ,1 ,50.4 ,O O 2 6 ,4 1 6 ,O ,0 O ,1 O 1 O O 
Laguna Blanca ,264 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O O O ,O ,O O ,O O O O O 
Natales& ,23782 ,13 ,54.7 ,0 ,0.0 ,0 ,0.0 ,0 O 1 3 ,2 O 1 ,1 ,0 2 ,O 2 1 0 O 
Porvenir ,7323 ,9 ,122.9 ,0 ,0.0 ,0 ,0.0 ,0 O O 0 ,3 1 2 ,2 ,O O ,1 0 0 O O 
Primavera ,694 ,1 ,144.1 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,O O 1 ,O ,O O ,O 0 0 O O 
Punta Arenas& ,141984 ,1024 ,721.2 ,38 ,26.8 ,38 ,26.8 ,O 1 6 63 ,123 146 154 ,132 ,85 107 ,81 51 49 21 5 
Rio Verde ,211 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O 0 O ,O ,O O ,O O O O O 
San Gregorio ,681 ,2 ,293.7 ,0 ,0.0 ,O ,0.0 ,O O O 0 ,0 O 0 ,0 ,0 O ,2 0 0 O O 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 0 ,O O O ,O ,O O ,O 0 O 0 O 
Torres del Paine ,1021 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O 0 O ,O ,O O ,O O O O O 
Total ,178362 ,1070 ,599.9 ,39 ,21.9 ,39 ,21.9 ,0 1 9 72 ,132 148 164 ,135 ,85 109 ,85 53 51 21 5 
