,,,,,,,,,NumerodeCasos,segunFechadeInicio,deSintomas.,NotificacionoTomade,Muestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE SE SE 16 17 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE 25 ,SE SE 26 27 
Algarrobo ,15174 ,100 ,659.0 ,6 ,39.5 ,6 ,39.5 ,6 ,39.5 ,0 0 1 4 4 ,0 0 ,0 2 4 6 ,13 10 ,7 ,19 18 ,6 ,5 1 
Cabildo& ,20663 ,197 ,953.4 ,14 ,67.8 ,52 ,251.7 ,47 ,227.5 ,O 0 0 0 0 ,0 0 ,0 5 3 4 ,6 7 ,16 ,20 38 ,46 ,43 9 
Calera& ,53591 ,387 ,722.1 ,8 ,14.9 ,98 ,182.9 ,97 ,181.0 ,O 0 0 1 6 ,2 4 ,7 2 2 7 ,18 22 ,21 ,51 61 ,85 ,84 14 
Calle Larga& ,16482 ,182 ,1104.2 ,0 ,0.0 ,27 ,163.8 ,27 ,163.8 ,1 0 0 0 O ,2 3 ,1 0 4 3 ,9 29 ,27 ,27 24 ,25 ,20 7 
Cartagena8 ,25357 ,136 ,536.3 ,3 ,11.8 ,20 ,78.9 ,20 ,78.9 ,0 0 O 0 O ,2 0 ,1 5 5 12 ,7 17 ,11 ,17 19 ,20 ,15 5 
Casablanca8 ,29170 ,141 ,483.4 ,0 ,0.0 ,31 ,106.3 ,31 ,106.3 ,O 0 0 2 O ,1 1 ,0 0 O 9 ,9 9 ,13 ,21 24 ,21 ,26 5 
Catemu ,15213 ,78 ,512.7 ,1 ,6.6 ,19 ,124.9 ,19 ,124.9 ,0 0 0 1 0 ,0 0 ,0 O 1 1 ,7 3 ,14 ,15 14 ,3 ,18 1 
Con Con& ,45889 ,352 ,767.1 ,5 ,10.9 ,103 ,224.5 ,103 ,224.5 ,0 0 0 3 6 ,2 1 ,0 11 6 9 ,16 19 ,27 ,52 45 ,52 ,75 28 
EI Quisco ,17742 ,120 ,676.4 ,3 ,16.9 ,15 ,84.5 ,15 ,84.5 ,0 0 0 1 0 ,4 2 ,4 0 5 9 ,14 15 ,15 ,18 11 ,7 ,9 6 
EI Tabo ,14338 ,174 ,1213.6 ,5 ,34.9 ,45 ,313.9 ,45 ,313.9 ,0 0 0 0 5 ,0 2 ,3 3 4 7 ,6 16 ,26 ,17 19 ,21 ,32 13 
Hijuelas& ,19099 ,107 ,560.2 ,3 ,15.7 ,26 ,136.1 ,26 ,136.1 ,0 0 0 0 0 ,0 1 ,0 0 0 0 ,8 10 ,15 ,13 14 ,20 ,21 5 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 2 1 ,2 0 ,0 0 0 0 ,0 0 ,0 ,0 0 ,0 ,0 0 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 O ,0 0 ,0 O 0 O ,0 0 ,0 ,O O ,0 ,O 0 
La Cruz& ,25321 ,112 ,442.3 ,1 ,3.9 ,27 ,106.6 ,27 ,106.6 ,0 1 0 1 2 ,3 1 ,0 1 8 7 ,4 5 ,13 ,15 11 ,13 ,22 5 
La Ligua ,37739 ,221 ,585.6 ,8 ,21.2 ,42 ,111.3 ,42 ,111.3 ,O 0 0 1 1 ,1 0 ,1 0 1 2 ,10 17 ,26 ,33 52 ,34 ,37 5 
Limache& ,49931 ,550 ,1101.5 ,9 ,18.0 ,109 ,218.3 ,108 ,216.3 ,O 0 0 3 O ,5 9 ,6 1 7 25 ,31 25 ,37 ,83 99 ,110 ,73 36 
Llaillay ,26533 ,215 ,810.3 ,5 ,18.8 ,36 ,135.7 ,35 ,131.9 ,O 0 O 1 1 ,0 0 ,0 1 2 5 ,29 23 ,25 ,35 24 ,33 ,26 10 
Los Andes ,68093 ,764 ,1122.0 ,24 ,35.2 ,119 ,174.8 ,119 ,174.8 ,0 0 0 2 2 ,0 3 ,0 2 10 21 ,57 84 ,94 ,140 117 ,113 ,86 33 
Nogales& ,23490 ,85 ,361.9 ,0 ,0.0 ,14 ,59.6 ,14 ,59.6 ,O 0 0 0 O ,0 0 ,0 0 2 4 ,6 6 ,6 ,11 17 ,19 ,12 2 
Olmue& ,19266 ,87 ,451.6 ,2 ,10.4 ,11 ,57.1 ,11 ,57.1 ,0 0 0 O 0 ,1 1 ,1 O O 2 ,5 11 ,7 ,14 20 ,14 ,7 4 
