,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE 9 10 11 12 13 14 ,SE SE SE SE SE 15 16 17 18 19 ,SE SE SE 20 21 22 
Chepica ,15925 ,6 ,37.7 ,6 ,37.7 ,6 ,37.7 ,O O O 0 O O ,O O O O O ,6 O O 
Chimbarongo& ,37696 ,11 ,29.2 ,5 ,13.3 ,5 ,13.3 ,0 O O 1 1 O ,O O O 1 3 ,4 1 O 
Codegua ,14096 ,6 ,42.6 ,1 ,7.1 ,1 ,7.1 ,0 O O 1 0 O ,0 O 1 O 1 ,3 0 O 
Coinco ,7831 ,9 ,114.9 ,3 ,38.3 ,3 ,38.3 ,0 O 0 0 0 O ,0 0 1 O 4 ,4 0 O 
Coltauco ,21263 ,17 ,80.0 ,2 ,9.4 ,2 ,9.4 ,0 O O 0 0 O ,0 O O 0 13 ,4 0 O 
Donihue ,22700 ,23 ,101.3 ,8 ,35.2 ,8 ,35.2 ,O O O O O O ,O 1 O 4 9 ,8 1 O 
Graneros ,36504 ,36 ,98.6 ,12 ,32.9 ,12 ,32.9 ,0 O O O O O ,O O 3 7 13 ,13 0 O 
La Estrella ,3114 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 0 0 O ,O O O O O ,0 0 O 
Las Cabras ,26749 ,13 ,48.6 ,1 ,3.7 ,1 ,3.7 ,0 O O O O O ,1 2 4 3 2 ,1 0 O 
Litueche ,6765 ,11 ,162.6 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O O O ,0 1 5 2 2 ,1 0 O 
Lolol ,7289 ,3 ,41.2 ,2 ,27.4 ,2 ,27.4 ,O O O O O O ,O O O O 1 ,2 O O 
Machali ,59913 ,37 ,61.8 ,12 ,20.0 ,12 ,20.0 ,0 0 1 4 1 O ,4 O 5 3 7 ,9 3 O 
Malloa ,14163 ,3 ,21.2 ,1 ,7.1 ,1 ,7.1 ,O 0 O 0 O O ,0 O O O 1 ,2 0 O 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 O O ,O 0 O 0 0 ,O O O 
Mostazal8 ,27462 ,9 ,32.8 ,2 ,7.3 ,2 ,7.3 ,0 0 O O O O ,O O O 2 4 ,3 0 O 
Nancagua ,19141 ,8 ,41.8 ,5 ,26.1 ,5 ,26.1 ,O 0 O O O O ,O O O 1 1 ,6 O O 
Navidad ,6904 ,10 ,144.8 ,1 ,14.5 ,1 ,14.5 ,O O O O O O ,O O 3 O 5 ,2 0 O 
Olivar8 ,14624 ,18 ,123.1 ,4 ,27.4 ,4 ,27.4 ,0 O O 0 1 2 ,2 1 O O 8 ,2 2 0 
Palmilla ,13299 ,3 ,22.6 ,3 ,22.6 ,3 ,22.6 ,O O 0 0 O O ,0 O 0 O 0 ,2 1 O 
Paredones ,6349 ,2 ,31.5 ,O ,0.0 ,O ,0.0 ,O O O O O O ,O O O O O ,2 O O 
