,,,,,Numero,deCasos,segunFechade,IniciodeSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE 17 18 
Corral ,5447 ,1 ,18.4 ,O ,0.0 ,O ,0.0 ,O O O O ,O O O 1 ,O O 
Futrono ,15261 ,5 ,32.8 ,O ,0.0 ,O ,0.0 ,O O O 1 ,3 1 O O ,O O 
La Union & ,39538 ,32 ,80.9 ,5 ,12.6 ,5 ,12.6 ,O O 1 5 ,7 5 5 6 ,3 O 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O O 1 ,1 O 0 O ,O O 
Lanco ,17652 ,5 ,28.3 ,1 ,5.7 ,1 ,5.7 ,O O O O ,1 2 1 1 ,O 0 
Los Lagos ,20518 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O O O ,O O 
Mafil ,7389 ,2 ,27.1 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O O O 1 ,O O 
Mariquina ,23250 ,9 ,38.7 ,O ,0.0 ,O ,0.0 ,O O O 3 ,1 4 1 O ,O O 
Paillaco ,20798 ,2 ,9.6 ,O ,0.0 ,0 ,0.0 ,O O O 1 ,O 1 O O ,O O 
Panguipulli ,35991 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O ,O O O O ,O 0 
Rio Bueno ,32925 ,13 ,39.5 ,4 ,12.1 ,4 ,12.1 ,O O O 3 ,1 4 1 1 ,2 1 
Valdivia & ,176774 ,110 ,62.2 ,5 ,2.8 ,5 ,2.8 ,O 2 1 26 ,33 24 14 6 ,2 2 
Total ,405835 ,181 ,44.6 ,15 ,3.7 ,15 ,3.7 ,0 2 2 41 ,47 41 22 16 ,7 3 
