edad,,Hombre,,,Mujer,,,Total,
Grupo ,NO ,% ,Tasa ,N ,% ,Tasa ,N ,% ,Tasa 
00-04 anos ,1274 ,2.0 ,210.0 ,1182 ,2.0 ,202.4 ,2456 ,2.0 ,206.3 
05 05-0 09 anos ,932 ,1.4 ,142.8 ,883 ,1.5 ,140.3 ,1815 ,1.5 ,141.5 
10 14 anos ,1078 ,1.7 ,167.4 ,1051 ,1.8 ,169.1 ,2129 ,1.7 ,168.3 
15 19 anos ,1776 ,2.8 ,277.2 ,2001 ,3.5 ,323.0 ,3777 ,3.1 ,299.7 
20-24 20 24 anos ,4908 ,7.6 ,669.6 ,4684 ,8.1 ,659.6 ,9592 ,7.8 ,664.6 
25-29 25 29 anos ,8170 ,12.7 ,975.7 ,7689 ,13.3 ,947.2 ,15859 ,12.9 ,961.6 
30 30-3 34 anos ,8491 ,13.1 ,1048.0 ,7348 ,12.7 ,934.9 ,15839 ,12.9 ,992.3 
35-39 35 39 anos ,7034 ,10.9 ,969.7 ,5866 ,10.1 ,826.3 ,12900 ,10.5 ,898.8 
40 44 anos ,5810 ,9.0 ,860.4 ,4844 ,8.4 ,721.1 ,10654 ,8.7 ,790.9 
45 49 anos ,5583 ,8.6 ,884.6 ,4955 ,8.6 ,773.8 ,10538 ,8.6 ,828.8 
50-54 54 anos ,5240 ,8.1 ,871.8 ,4492 ,7.8 ,720.6 ,9732 ,7.9 ,794.8 
55 -59 anos ,4761 ,7.4 ,858.1 ,4062 ,7.0 ,687.8 ,8823 ,7.2 ,770.2 
60 0-64 64 anos ,3580 ,5.5 ,760.0 ,2815 ,4.9 ,543.1 ,6395 ,5.2 ,646.4 
65 69 anos ,2162 ,3.3 ,570.6 ,1821 ,3.1 ,418.0 ,3983 ,3.3 ,488.9 
70 74 anos ,1553 ,2.4 ,588.1 ,1406 ,2.4 ,440.3 ,2959 ,2.4 ,507.2 
75 79 afos ,1035 ,1.6 ,586.7 ,1039 ,1.8 ,437.7 ,2074 ,1.7 ,501.2 
80 y mas anos ,1189 ,1.8 ,605.0 ,1781 ,3.1 ,508.4 ,2970 ,2.4 ,543.1 
Tota ,64576 ,100 ,672.7 ,57919 ,100 ,587.5 ,122495 ,100 ,629.5 
