,,,,,,,,,Numero,de,CasosNuevos,segun,semana,epidemiologica,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) ,SE 17 (19 de abril al 25 de abril) 
Algarrobo ,15174 ,9 ,59.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,1 ,4 ,4 ,O ,0 ,0 ,0 
Cabildo8 ,20663 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,0 ,O ,0 ,0 ,0 
Calera& ,53591 ,22 ,41.1 ,9 ,16.8 ,9 ,16.8 ,0 ,0 ,0 ,1 ,6 ,2 ,4 ,7 ,2 
Calle Larga& ,16482 ,6 ,36.4 ,2 ,12.1 ,2 ,12.1 ,0 ,0 ,0 ,O ,0 ,2 ,3 ,1 ,0 
Cartagena& ,25357 ,6 ,23.7 ,4 ,15.8 ,4 ,15.8 ,0 ,0 ,O ,0 ,0 ,2 ,0 ,3 ,1 
Casablanca ,29170 ,3 ,10.3 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 
Catemu ,15213 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Concon& ,45889 ,13 ,28.3 ,3 ,6.5 ,3 ,6.5 ,0 ,0 ,0 ,2 ,6 ,1 ,1 ,O ,3 
EI Quisco& ,17742 ,11 ,62.0 ,4 ,22.5 ,3 ,16.9 ,0 ,0 ,0 ,1 ,0 ,4 ,2 ,4 ,0 
EI Tabo8 ,14338 ,9 ,62.8 ,3 ,20.9 ,3 ,20.9 ,O ,0 ,0 ,O ,5 ,O ,2 ,2 ,0 
Hijuelas ,19099 ,1 ,5.2 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,O ,1 ,O ,0 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,2 ,1 ,2 ,0 ,O ,0 
Juan Fernandez ,1033 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,O ,0 ,O ,0 ,0 ,0 
La Cruz& ,25321 ,8 ,31.6 ,0 ,0.0 ,0 ,0.0 ,0 ,1 ,O ,1 ,2 ,3 ,1 ,O ,O 
La Ligua ,37739 ,2 ,5.3 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
Limache& ,49931 ,23 ,46.1 ,11 ,22.0 ,11 ,22.0 ,0 ,0 ,0 ,3 ,0 ,5 ,9 ,6 ,0 
Llaillay ,26533 ,2 ,7.5 ,O ,0.0 ,O ,0.0 ,0 ,0 ,0 ,1 ,1 ,O ,0 ,O ,O 
Los Andes& ,68093 ,6 ,8.8 ,1 ,1.5 ,1 ,1.5 ,0 ,0 ,0 ,1 ,2 ,0 ,3 ,O ,0 
Nogales ,23490 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
