may,junjul,ago,sept,marabrmayjun,julago,sept,,marabr,may,jun,jul,ago,septmar.abrmayjun,julago,sept
,,,,Donihue ,,,,Graneros ,,,,,La Estrella ,,
,,,15 ,,,,,,,,,,4 ,,
,,,,,,,,,,,,,,,
,,,10 ,,,,10 ,,,,,,3 2 ,,
,,,5 ,,,,5 ,,,,,,,,
,,,0 ,I LI I ,,,0 ,I ,I LII ,,,,1 0 ,,
may ,jun jul ,ago ,sept ,mar abr may jun ,jul ago ,sept ,,mar abr ,may ,jun ,jul ,ago ,sept mar abr may jun ,jul ago ,sept 
,,,,Litueche ,,,Lolol ,,,,,,Machali ,,
,,,6 ,,,,6 ,,,,,,40 ,,
,,,4 ,,,,4 ,,,,,,30 ,,
,,,,,,,2 ,,,,,,20 ,,
,,,2 ,,,,,,,,,,10 ,,
,,,0 ,I ,II ,,0 ,,III ,,,,0 ,,
may ,jun jul ,ago ,sept ,mar abr may jun ,jul ago ,sept ,mar ,abr ,may ,jun ,jul ,ago ,sept mar abr may jun ,jul ago ,sept 
,,,,Marchihue ,,,,Mostazal ,,,,,Nancagua ,,
