,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE 15 16 17 ,SE SE SE SE SE SE 18 19 20 21 22 23 
Aisen ,25002 ,4 ,16.0 ,3 ,12.0 ,3 ,12.0 ,O 0 1 0 ,0 O ,0 O 0 ,0 0 0 1 2 0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,0 ,0.0 ,O 0 0 0 ,0 1 ,O O O ,0 0 0 O O O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O ,O O O O O 0 
Cochrane ,3685 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O O ,O O O ,0 O O O O O 
Coyhaique ,61210 ,8 ,13.1 ,5 ,8.2 ,5 ,8.2 ,O O 1 O ,O 1 ,O O O ,0 1 O 4 1 O 
Guaitecas ,1599 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 O ,O O ,O O O ,0 O O O 0 O 
Lago Verde ,920 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O O ,O O O ,O O O O O O 
O'Higgins ,661 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O ,O O O O O O 
Rio Ibanez ,2699 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O ,0 O O O 0 O 
Tortel ,572 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O O ,O O O ,O O O O 0 O 
Total ,107297 ,13 ,12.1 ,8 ,7.5 ,8 ,7.5 ,0 0 2 0 ,0 2 ,0 0 0 ,0 1 0 5 3 0 
