,,,,,,,,,NumerodeCasos,segunFechadeIniciodeSintomas.Notificacion,o,Tomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 ,SE SE 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE SE 25 26 ,SE SE 27 28 
Alto Hospicio& ,129999 ,2150 ,1653.9 ,33 ,25.4 ,166 ,127.7 ,165 ,126.9 ,0 0 0 3 5 6 14 24 37 ,112 141 ,269 318 ,315 ,259 207 ,160 167 ,95 18 
Camina ,1375 ,35 ,2545.5 ,2 ,145.5 ,7 ,509.1 ,7 ,509.1 ,0 0 0 0 0 0 0 0 0 ,0 0 ,0 3 ,8 ,4 2 ,3 10 ,4 1 
Colchane ,1583 ,72 ,4548.3 ,2 ,126.3 ,16 ,1010.7 ,16 ,1010.7 ,0 0 0 0 0 0 0 0 0 ,0 0 ,O 2 ,1 ,10 18 ,15 15 ,8 3 
Huara8 ,3000 ,92 ,3066.7 ,3 ,100.0 ,21 ,700.0 ,21 ,700.0 ,0 0 0 O 0 0 O 0 2 ,8 2 ,10 7 ,8 ,11 6 ,9 11 ,11 7 
Iquique& ,223463 ,3814 ,1706.8 ,78 ,34.9 ,433 ,193.8 ,433 ,193.8 ,0 0 0 9 7 14 11 21 42 ,102 259 ,403 504 ,456 ,443 455 ,414 340 ,275 59 
Pica ,5958 ,163 ,2735.8 ,0 ,0.0 ,71 ,1191.7 ,71 ,1191.7 ,0 0 0 0 1 7 14 10 0 ,1 4 ,1 7 ,8 ,9 10 ,10 14 ,37 30 
Pozo Almonte& ,17395 ,474 ,2724.9 ,7 ,40.2 ,66 ,379.4 ,66 ,379.4 ,O 0 O O 1 2 O 0 0 ,3 5 ,15 38 ,58 ,90 104 ,61 34 ,54 9 
Desconocido& ,- ,310 ,- ,0 ,- ,35 ,- ,35 ,- ,0 0 0 O 0 0 1 0 1 ,4 95 ,29 27 ,25 ,31 26 ,20 22 ,18 11 
Total ,382773 ,7110 ,1857.5 ,125 ,32.7 ,815 ,212.9 ,814 ,212.7 ,0 0 0 12 14 29 40 55 82 ,230 506 ,727 906 ,879 ,857 828 ,692 613 ,502 138 
