,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE SE 16 17 ,SE SE SE 18 19 20 
Andacollo ,11791 ,3 ,25.4 ,1 ,8.5 ,1 ,8.5 ,O O O O O O O ,O O ,2 1 O 
Canela ,9546 ,1 ,10.5 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O O ,1 O O 
Combarbala ,13884 ,2 ,14.4 ,1 ,7.2 ,1 ,7.2 ,O O O O O O O ,0 O ,2 O O 
Coquimbo ,256735 ,49 ,19.1 ,14 ,5.5 ,14 ,5.5 ,O O 4 13 3 1 O ,3 4 ,9 12 0 
Illapel ,32801 ,19 ,57.9 ,O ,0.0 ,O ,0.0 ,O O O O 4 7 7 ,O O ,1 O O 
La Higuera ,4450 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 O O O ,0 0 ,O O O 
La Serena ,249656 ,57 ,22.8 ,27 ,10.8 ,26 ,10.4 ,O O 1 3 6 4 2 ,2 4 ,11 18 6 
Los Vilos ,23374 ,1 ,4.3 ,O ,0.0 ,O ,0.0 ,O O O 1 O O O ,O O ,O O O 
Monte Patria ,32527 ,3 ,9.2 ,3 ,9.2 ,3 ,9.2 ,O O O O O O O ,O 0 ,1 2 O 
Ovalle ,121269 ,35 ,28.9 ,20 ,16.5 ,20 ,16.5 ,O O 2 2 4 1 O ,1 1 ,7 16 1 
Paiguano ,4675 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O O 0 0 O ,O 0 ,0 O 0 
Punitaqui ,12165 ,8 ,65.8 ,5 ,41.1 ,5 ,41.1 ,O 0 O O O 0 O ,1 1 ,3 3 0 
Rio Hurtado ,4372 ,2 ,45.7 ,O ,0.0 ,O ,0.0 ,O O O 1 O O O ,O O ,1 O O 
Salamanca ,29110 ,12 ,41.2 ,2 ,6.9 ,2 ,6.9 ,O O O 1 2 1 2 ,1 O ,3 O 2 
Vicuna ,29741 ,5 ,16.8 ,4 ,13.4 ,4 ,13.4 ,O O 0 0 0 0 O ,O 1 ,2 2 0 
Total ,836096 ,197 ,23.6 ,77 ,9.2 ,76 ,9.1 ,0 0 7 21 19 14 11 ,8 11 ,43 54 9 
