,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE 21 22 
Algarrobo ,15174 ,36 ,237.2 ,5 ,33.0 ,5 ,33.0 ,O O 1 4 4 ,O O ,O ,2 4 6 ,11 ,4 O 
Cabildo ,20663 ,18 ,87.1 ,4 ,19.4 ,4 ,19.4 ,O O O O O ,O O ,O ,5 3 2 ,4 ,4 O 
Calera& ,53591 ,51 ,95.2 ,12 ,22.4 ,12 ,22.4 ,0 O 0 1 6 ,2 4 ,7 ,2 2 6 ,14 ,7 O 
Calle Larga ,16482 ,36 ,218.4 ,20 ,121.3 ,20 ,121.3 ,O O 0 O O ,2 3 ,1 ,0 3 3 ,8 ,16 O 
Cartagena ,25357 ,42 ,165.6 ,9 ,35.5 ,9 ,35.5 ,O O O O O ,2 O ,3 ,5 5 12 ,7 ,8 O 
Casablanca ,29170 ,23 ,78.8 ,7 ,24.0 ,7 ,24.0 ,O O 0 1 O ,1 1 ,O ,O O 8 ,8 ,4 O 
Catemu ,15213 ,10 ,65.7 ,2 ,13.1 ,2 ,13.1 ,0 O 0 O 0 ,0 0 ,0 ,O 1 1 ,6 ,1 1 
Con Con ,45889 ,49 ,106.8 ,6 ,13.1 ,6 ,13.1 ,O O 0 2 6 ,1 1 ,O ,9 6 8 ,11 ,5 O 
EI Quisco ,17742 ,44 ,248.0 ,13 ,73.3 ,13 ,73.3 ,O O 0 1 O ,4 2 ,4 ,O 5 10 ,12 ,6 O 
EI Tabo8 ,14338 ,37 ,258.1 ,7 ,48.8 ,6 ,41.8 ,O O O O 5 ,O 2 ,3 ,3 4 7 ,6 ,7 O 
Hijuelas ,19099 ,13 ,68.1 ,10 ,52.4 ,10 ,52.4 ,0 0 0 0 0 ,0 1 ,O ,0 O O ,5 ,7 0 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,O ,0.0 ,O O O 2 1 ,2 O ,O ,O O O ,O ,0 O 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O O ,O O ,O ,O O O ,O ,O O 
La Cruz& ,25321 ,26 ,102.7 ,3 ,11.8 ,3 ,11.8 ,O 1 O 1 2 ,3 1 ,O ,1 7 6 ,3 ,1 O 
La Ligua ,37739 ,15 ,39.7 ,7 ,18.5 ,7 ,18.5 ,0 O 0 1 0 ,1 O ,0 ,0 1 O ,8 ,3 1 
Limache ,49931 ,85 ,170.2 ,15 ,30.0 ,15 ,30.0 ,O O O 2 0 ,5 9 ,6 ,1 7 23 ,26 ,6 O 
Llaillay ,26533 ,53 ,199.8 ,25 ,94.2 ,25 ,94.2 ,0 O O 1 1 ,O O ,O ,1 2 5 ,27 ,15 1 
Los Andes& ,68093 ,128 ,188.0 ,56 ,82.2 ,56 ,82.2 ,0 O O 2 2 ,0 3 ,O ,2 7 19 ,49 ,43 1 
Nogales ,23490 ,14 ,59.6 ,4 ,17.0 ,4 ,17.0 ,O O O O 0 ,0 O ,0 ,O 2 4 ,6 ,1 1 
