,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 ,SE 19 
Andacollo ,11791 ,3 ,25.4 ,1 ,8.5 ,1 ,8.5 ,O O O O O O O O O 2 ,1 
Canela ,9546 ,1 ,10.5 ,0 ,0.0 ,0 ,0.0 ,O O O O O O O O O 1 ,O 
Combarbala ,13884 ,5 ,36.0 ,3 ,21.6 ,3 ,21.6 ,O O O O O O O O O 2 ,O 
Coquimbo ,256735 ,56 ,21.8 ,17 ,6.6 ,17 ,6.6 ,O O 4 13 3 1 O 3 4 9 ,16 
Illapel ,32801 ,19 ,57.9 ,0 ,0.0 ,O ,0.0 ,O O O O 4 7 7 O O 1 ,0 
La Higuera ,4450 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O O O 0 O O 0 ,O 
La Serena ,249656 ,63 ,25.2 ,29 ,11.6 ,28 ,11.2 ,O O 1 3 6 4 2 2 4 11 ,20 
Los Vilos ,23374 ,1 ,4.3 ,O ,0.0 ,O ,0.0 ,O O O 1 O O O O O O ,O 
Monte Patria ,32527 ,4 ,12.3 ,3 ,9.2 ,3 ,9.2 ,O O 0 O O O 0 O O 1 ,2 
Ovalle& ,121269 ,48 ,39.6 ,27 ,22.3 ,27 ,22.3 ,O O 2 2 4 1 O 1 1 8 ,18 
Paiguano ,4675 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O O O O O O O 0 ,O 
Punitaqui ,12165 ,8 ,65.8 ,2 ,16.4 ,1 ,8.2 ,O O O O O O O 1 1 3 ,3 
Rio Hurtado ,4372 ,2 ,45.7 ,O ,0.0 ,0 ,0.0 ,O O O 1 O O 0 O O 1 ,O 
Salamanca8 ,29110 ,10 ,34.4 ,O ,0.0 ,0 ,0.0 ,O O O 1 2 1 2 1 O 3 ,O 
Vicuna ,29741 ,7 ,23.5 ,3 ,10.1 ,3 ,10.1 ,0 0 0 O O O 0 O 1 2 ,3 
Total ,836096 ,227 ,27.1 ,85 ,10.2 ,83 ,9.9 ,0 0 7 21 19 14 11 8 11 44 ,63 
