,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE SE SE 19 20 21 22 
Alto del Carmen ,5729 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 0 O ,0 0 ,O O ,O O O O 
Caldera ,19426 ,5 ,25.7 ,1 ,5.1 ,1 ,5.1 ,O O O ,O O O ,O O ,O 2 ,2 1 O O 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O O ,O O ,O O ,O O O O 
Copiapo ,171766 ,100 ,58.2 ,25 ,14.6 ,25 ,14.6 ,O 0 1 ,0 2 1 ,4 0 ,12 26 ,27 13 14 O 
Diego de Almagro ,14358 ,8 ,55.7 ,5 ,34.8 ,5 ,34.8 ,O O O ,O 1 0 ,O 0 ,O 1 ,1 4 1 O 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O 1 ,O O ,O O O O 
Huasco ,11264 ,1 ,8.9 ,0 ,0.0 ,O ,0.0 ,O 0 O ,O O 0 ,O O ,O 1 ,0 O O O 
Tierra Amarilla ,14312 ,23 ,160.7 ,0 ,0.0 ,O ,0.0 ,0 O 0 ,O 0 2 ,3 O ,2 5 ,10 1 0 O 
Vallenar8 ,57009 ,48 ,84.2 ,5 ,8.8 ,5 ,8.8 ,O O O ,O O O ,1 9 ,11 9 ,13 2 3 O 
Total ,314709 ,186 ,59.1 ,36 ,11.4 ,36 ,11.4 ,0 0 1 ,0 3 3 ,8 10 ,25 44 ,53 21 18 0 
