,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abri al 18 de abril) 
Arica y Parinacota ,252.110 ,124 ,"49,2 ",81 ,"32,1 ",80 ,"31,7 ",O ,0 ,1 ,3 ,23 ,61 ,36 ,O 
Tarapaca ,382.773 ,62 ,"16,2 ",35 ,"9,1 ",35 ,"9,1 ",0 ,0 ,0 ,11 ,11 ,23 ,17 ,0 
Antofagasta ,691.854 ,176 ,"25,4 ",89 ,"12,9 ",88 ,"12,7 ",1 ,1 ,4 ,32 ,33 ,45 ,52 ,8 
Atacama ,314.709 ,13 ,"4,1 ",9 ,"2,9 ",9 ,"2,9 ",O ,O ,1 ,0 ,3 ,4 ,5 ,0 
Coquimbo ,836.096 ,66 ,"7,9 ",19 ,"2,3 ",19 ,"2,3 ",O ,O ,6 ,19 ,18 ,13 ,10 ,O 
Valparaiso ,1.960.170 ,299 ,"15,3 ",83 ,"4,2 ",81 ,"4,1 ",O ,4 ,15 ,68 ,97 ,76 ,38 ,1 
Metropolitana ,8.125.072 ,4.334 ,"53,3 ",1663 ,"20,5 ",1620 ,"19,9 ",6 ,39 ,309 ,903 ,961 ,1080 ,875 ,161 
O'Higgins ,991.063 ,54 ,"5,4 ",9 ,"0,9 ",9 ,"0,9 ",O ,0 ,1 ,20 ,14 ,10 ,3 ,6 
Maule ,1.131.939 ,152 ,"13,4 ",48 ,"4,2 ",46 ,"4,1 ",O ,3 ,5 ,20 ,35 ,48 ,32 ,9 
Nuble ,511.551 ,634 ,"123,9 ",140 ,"27,4 ",133 ,"26,0 ",1 ,2 ,40 ,168 ,214 ,159 ,47 ,3 
Biobio ,1.663.696 ,542 ,"32,6 ",176 ,"10,6 ",174 ,"10,5 ",1 ,3 ,21 ,99 ,178 ,159 ,72 ,9 
Araucania ,1.014.343 ,826 ,"81,4 ",241 ,"23,8 ",223 ,"22,0 ",1 ,3 ,29 ,199 ,255 ,231 ,99 ,9 
Los Rios ,405.835 ,150 ,"37,0 ",37 ,"9,1 ",34 ,"8,4 ",O ,2 ,2 ,38 ,47 ,35 ,25 ,1 
Los Lagos ,891.440 ,390 ,"43,7 ",93 ,"10,4 ",88 ,"9,9 ",0 ,1 ,16 ,90 ,143 ,104 ,36 ,0 
Aisen ,107.297 ,7 ,"6,5 ",O ,"0,0 ",0 ,"0,0 ",O ,O ,4 ,1 ,O ,2 ,O ,O 
Magallanes ,178.362 ,444 ,"248,9 ",185 ,"103,7 ",180 ,"100,9 ",1 ,1 ,6 ,73 ,129 ,131 ,101 ,2 
Total pais ,19.458.310 ,8.273 ,"42,5 ",2.908 ,"14,9 ",2.819 ,"14,5 ",11 ,59 ,461 ,1.744 ,2.160 ,2.181 ,1.448 ,209 
