Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,& ,44143 ,386 ,874.4 ,8 ,18.1 ,40 ,90.6 ,40 ,90.6 
Chanco ,,9331 ,46 ,493.0 ,0 ,0.0 ,11 ,117.9 ,11 ,117.9 
Colbun ,,22565 ,176 ,780.0 ,0 ,0.0 ,28 ,124.1 ,28 ,124.1 
Constitucion ,,50348 ,320 ,635.6 ,3 ,6.0 ,74 ,147.0 ,74 ,147.0 
Curepto ,,9426 ,45 ,477.4 ,3 ,31.8 ,7 ,74.3 ,6 ,63.7 
Curico ,& ,163626 ,1912 ,1168.5 ,30 ,18.3 ,179 ,109.4 ,179 ,109.4 
Empedrado ,,4206 ,30 ,713.3 ,0 ,0.0 ,1 ,23.8 ,1 ,23.8 
Hualane ,,10222 ,115 ,1125.0 ,2 ,19.6 ,2 ,19.6 ,2 ,19.6 
Licanten ,,6989 ,21 ,300.5 ,1 ,14.3 ,O ,0.0 ,O ,0.0 
Linares ,& ,101073 ,634 ,627.3 ,9 ,8.9 ,93 ,92.0 ,93 ,92.0 
Longavi ,& ,32810 ,256 ,780.2 ,2 ,6.1 ,13 ,39.6 ,13 ,39.6 
Maule ,& ,60000 ,402 ,670.0 ,2 ,3.3 ,68 ,113.3 ,68 ,113.3 
Molina ,& ,49800 ,248 ,498.0 ,9 ,18.1 ,26 ,52.2 ,26 ,52.2 
Parral ,& ,44544 ,260 ,583.7 ,3 ,6.7 ,16 ,35.9 ,16 ,35.9 
Pelarco ,& ,9083 ,85 ,935.8 ,1 ,11.0 ,34 ,374.3 ,34 ,374.3 
Pelluhue ,& ,8092 ,63 ,778.5 ,2 ,24.7 ,2 ,24.7 ,2 ,24.7 
Pencahue ,,8601 ,54 ,627.8 ,0 ,0.0 ,4 ,46.5 ,4 ,46.5 
Rauco ,& ,11248 ,97 ,862.4 ,1 ,8.9 ,23 ,204.5 ,23 ,204.5 
Retiro ,,21071 ,135 ,640.7 ,O ,0.0 ,4 ,19.0 ,4 ,19.0 
Rio Claro ,,14753 ,85 ,576.2 ,5 ,33.9 ,10 ,67.8 ,10 ,67.8 
Romeral ,& ,16170 ,239 ,1478.0 ,3 ,18.6 ,16 ,98.9 ,16 ,98.9 
