Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual
Hospicio ,& 129999 ,2191 ,1685.4 ,34 ,26.2 ,138 ,106.2 
Camina ,1375 ,36 ,2618.2 ,2 ,145.5 ,6 ,436.4 
Colchane ,1583 ,77 ,4864.2 ,2 ,126.3 ,15 ,947.6 
Huara ,3000 ,105 ,3500.0 ,3 ,100.0 ,28 ,933.3 
Iquique ,& 223463 ,3934 ,1760.5 ,80 ,35.8 ,409 ,183.0 
,5958 ,168 ,2819.7 ,O ,0.0 ,69 ,1158.1 
Pozo Almonte ,& 17395 ,508 ,2920.4 ,9 ,51.7 ,84 ,482.9 
Desconocido ,& - ,322 ,- ,O ,- ,39 ,- 
Total ,382773 ,7341 ,1917.8 ,130 ,34.0 ,788 ,205.9 
,,,,,,,
,SE SE SE SE ,SE SE SE SE ,SE SE SE ,SE SE ,SE SE SE ,SE SE SE ,SE SE 
Comuna ,9 10 11 12 ,13 14 15 16 ,17 18 19 ,20 21 ,22 23 24 ,25 26 27 ,28 29 
Hospicio ,& 0 0 0 3 ,5 6 14 24 ,37 112 141 ,269 318 ,317 259 207 ,160 167 105 ,47 O 
Camina ,O O 0 0 ,O O O O ,O O O ,O 3 ,8 4 2 ,3 10 4 ,2 O 
Colchane ,O O O O ,O 0 O 0 ,O O O ,O 2 ,1 10 18 ,15 15 11 ,5 O 
Huara ,O O 0 O ,O O O O ,2 8 2 ,10 7 ,8 11 6 ,9 11 14 ,17 0 
Iquique ,& 0 O O 9 ,7 14 11 21 ,42 102 259 ,403 504 ,457 444 456 ,415 344 307 ,139 O 
,O O O O ,1 7 14 10 ,0 1 4 ,1 7 ,8 9 10 ,10 14 41 ,31 O 
Pozo Almonte ,& O O O O ,1 2 O O ,0 3 5 ,15 38 ,58 90 104 ,61 35 68 ,28 O 
,,,,,,,
Desconocido ,& 0 0 0 0 ,0 0 1 0 ,1 5 95 ,29 27 ,25 31 26 ,20 22 17 ,23 0 
