,,,,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE SE ,SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Fallecidos ,mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 12 ,13 14 15 ,16 17 ,18 ,19 20 ,21 ,22 ,23 24 
Algarrobo8 ,15174 ,67 ,441.5 ,5 ,33.0 ,17 ,112.0 ,17 ,112.0 ,O 0 1 4 ,4 O 0 ,0 2 ,4 ,6 13 ,10 ,8 ,14 1 
Cabildo& ,20663 ,36 ,174.2 ,0 ,0.0 ,7 ,33.9 ,7 ,33.9 ,O 0 0 O ,0 O 0 ,0 5 ,3 ,2 6 ,6 ,10 ,3 1 
Calera ,53591 ,112 ,209.0 ,0 ,0.0 ,33 ,61.6 ,33 ,61.6 ,O O 0 1 ,6 2 4 ,7 2 ,2 ,7 17 ,20 ,18 ,25 1 
Calle Larga ,16482 ,90 ,546.1 ,0 ,0.0 ,23 ,139.5 ,23 ,139.5 ,1 0 0 O ,0 2 3 ,1 O ,4 ,3 8 ,28 ,24 ,16 O 
Cartagena ,25357 ,66 ,260.3 ,2 ,7.9 ,13 ,51.3 ,13 ,51.3 ,O O O 0 ,0 2 0 ,1 5 ,5 ,12 7 ,15 ,11 ,8 O 
Casablanca ,29170 ,58 ,198.8 ,0 ,0.0 ,21 ,72.0 ,21 ,72.0 ,0 0 0 2 ,0 1 1 ,0 O ,0 ,9 8 ,9 ,10 ,15 3 
Catemu& ,15213 ,38 ,249.8 ,0 ,0.0 ,14 ,92.0 ,14 ,92.0 ,0 O 0 0 ,0 0 0 ,0 O ,1 ,1 7 ,3 ,13 ,11 2 
Con Con ,45889 ,105 ,228.8 ,2 ,4.4 ,26 ,56.7 ,26 ,56.7 ,0 0 0 2 ,6 1 1 ,0 9 ,6 ,9 16 ,17 ,16 ,19 3 
EI Quisco& ,17742 ,82 ,462.2 ,2 ,11.3 ,14 ,78.9 ,14 ,78.9 ,O O O 1 ,0 4 2 ,4 O ,5 ,9 14 ,13 ,17 ,12 1 
EI Tabo ,14338 ,72 ,502.2 ,3 ,20.9 ,14 ,97.6 ,14 ,97.6 ,0 0 O 0 ,5 0 2 ,3 3 ,4 ,7 6 ,15 ,19 ,8 O 
Hijuelas ,19099 ,38 ,199.0 ,1 ,5.2 ,7 ,36.7 ,7 ,36.7 ,0 0 0 0 ,0 0 1 ,O O ,0 ,0 7 ,10 ,15 ,5 0 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 0 2 ,1 2 0 ,O O ,O ,O O ,O ,0 ,O 0 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O 0 ,0 0 0 ,0 O ,0 ,0 0 ,0 ,0 ,0 O 
La Cruz& ,25321 ,49 ,193.5 ,1 ,3.9 ,10 ,39.5 ,10 ,39.5 ,O 1 O 1 ,2 3 1 ,O 1 ,8 ,6 3 ,5 ,10 ,8 O 
La Ligua8 ,37739 ,50 ,132.5 ,2 ,5.3 ,10 ,26.5 ,10 ,26.5 ,O 0 O 1 ,0 1 O ,O O ,1 ,1 9 ,11 ,22 ,4 0 
Limache& ,49931 ,179 ,358.5 ,4 ,8.0 ,55 ,110.2 ,55 ,110.2 ,O 0 O 2 ,0 5 9 ,6 1 ,7 ,23 31 ,22 ,33 ,36 4 
Llaillay& ,26533 ,98 ,369.4 ,3 ,11.3 ,24 ,90.5 ,22 ,82.9 ,0 0 O 1 ,1 O 0 ,O 1 ,2 ,5 28 ,22 ,20 ,17 1 
