,Hospitalizados,,SinHospitalizacion,
Signos / Sintoma ,No ,% ,No ,% 
Tos ,28216 ,60.5 ,231934 ,51.6 
Fiebre ,20982 ,45.0 ,143402 ,31.9 
Mialgia ,20416 ,43.8 ,235449 ,52.3 
Disnea ,18661 ,40.0 ,43515 ,9.7 
Cefalea ,16760 ,35.9 ,257643 ,57.3 
Odinofagia ,8402 ,18.0 ,143952 ,32.0 
Taquipnea ,5302 ,11.4 ,3829 ,0.9 
Dolor toracico ,5265 ,11.3 ,36671 ,8.2 
Otros ,5086 ,10.9 ,45951 ,10.2 
Diarrea ,4174 ,8.9 ,44491 ,9.9 
Dolor abdominal ,3240 ,6.9 ,26461 ,5.9 
Anosmia ,2792 ,6.0 ,81107 ,18.0 
Ageusia ,2441 ,5.2 ,64245 ,14.3 
Postracion ,949 ,2.0 ,2027 ,0.5 
Cianosis ,852 ,1.8 ,335 ,0.1 
