,,,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas.,NotificacionoTomade,Muestra,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE 14 ,SE SE SE SE 15 16 17 18 ,SE SE SE 19 20 21 ,SE SE 22 23 ,SE SE SE SE 24 25 26 27 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 0 ,0 ,0 0 0 0 ,0 0 0 ,0 0 ,0 0 0 0 
Cabo de Hornos ,1983 ,22 ,1109.4 ,0 ,0.0 ,1 ,50.4 ,1 ,50.4 ,0 0 2 6 4 ,1 ,6 0 0 0 ,1 0 1 ,O 0 ,0 0 1 0 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 0 O ,O ,0 O 0 0 ,0 0 0 ,O 0 ,0 0 0 0 
Natales ,23782 ,46 ,193.4 ,0 ,0.0 ,21 ,88.3 ,21 ,88.3 ,0 0 1 3 4 ,O ,1 1 0 4 ,0 3 3 ,O O ,O 5 17 4 
Porvenir ,7323 ,10 ,136.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 3 ,1 ,2 2 0 0 ,1 0 0 ,O 1 ,0 0 0 0 
Primavera ,694 ,3 ,432.3 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O 0 0 ,0 ,1 0 0 0 ,0 O 0 ,O 1 ,0 1 0 0 
Punta Arenas& ,141984 ,1354 ,953.6 ,23 ,16.2 ,80 ,56.3 ,80 ,56.3 ,0 2 5 66 121 ,148 ,156 133 86 107 ,83 53 51 ,24 35 ,123 81 61 19 
Rio Verde ,211 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O 0 O ,0 ,0 O 0 0 ,0 O 0 ,O 0 ,0 0 0 0 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 0 ,O ,0 O 0 O ,2 0 O ,O O ,0 0 0 0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O 0 O ,O ,0 O O O ,O 0 0 ,O O ,0 0 0 0 
Torres del Paine ,1021 ,1 ,97.9 ,O ,0.0 ,1 ,97.9 ,1 ,97.9 ,0 0 O 0 O ,O ,0 0 O 0 ,0 0 0 ,O 0 ,0 0 1 0 
Desconocido& ,- ,68 ,- ,O ,- ,1 ,- ,1 ,- ,0 0 O 1 0 ,1 ,42 14 4 2 ,1 0 0 ,O 0 ,0 2 0 1 
Total ,178362 ,1506 ,844.4 ,23 ,12.9 ,104 ,58.3 ,104 ,58.3 ,0 2 8 76 132 ,151 ,208 150 90 113 ,88 56 55 ,24 37 ,123 89 80 24 
