Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,69 ,276.0 ,2 ,8.0 ,2 ,8.0 
Chile Chico ,5121 ,2 ,39.1 ,1 ,19.5 ,1 ,19.5 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Cochrane ,3685 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Coyhaique ,& 61210 ,228 ,372.5 ,105 ,171.5 ,105 ,171.5 
Guaitecas ,1599 ,1 ,62.5 ,O ,0.0 ,O ,0.0 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
O'Higgins ,& 661 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Desconocido ,& - ,2 ,- ,1 ,- ,1 ,- 
Total ,107297 ,302 ,281.5 ,109 ,101.6 ,109 ,101.6 
