,,,,,,Numero,deCasossegun,Fecha,deInicio,de,Sintomas,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE 9 10 ,SE SE 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE 18 ,SE SE 19 20 
Antofagasta& ,425725 ,658 ,154.6 ,228 ,53.6 ,225 ,52.9 ,0 1 ,2 28 ,31 ,40 58 ,104 151 ,166 ,77 0 
Calama& ,190336 ,114 ,59.9 ,33 ,17.3 ,33 ,17.3 ,1 O ,2 3 ,2 ,7 13 ,16 36 ,30 ,4 0 
Maria Elena& ,6814 ,49 ,719.1 ,21 ,308.2 ,21 ,308.2 ,0 0 ,0 0 ,0 ,0 5 ,6 15 ,22 ,1 0 
Mejillones ,14776 ,150 ,1015.2 ,75 ,507.6 ,75 ,507.6 ,0 0 ,0 0 ,1 ,8 15 ,18 30 ,70 ,8 0 
Ollague ,287 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 ,0 0 ,0 0 ,0 ,0 0 
San Pedro de Atacama ,10434 ,4 ,38.3 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 2 ,1 ,1 0 ,0 0 ,0 ,0 0 
Sierra Gorda ,1746 ,2 ,114.5 ,2 ,114.5 ,2 ,114.5 ,0 0 ,0 0 ,0 ,0 0 ,0 0 ,2 ,0 0 
Taltal ,13657 ,9 ,65.9 ,1 ,7.3 ,1 ,7.3 ,0 0 ,0 0 ,0 ,2 3 ,2 1 ,0 ,1 0 
Tocopilla ,28079 ,15 ,53.4 ,3 ,10.7 ,3 ,10.7 ,0 0 ,0 2 ,0 ,4 5 ,0 1 ,2 ,1 0 
Total ,691854 ,1001 ,144.7 ,363 ,52.5 ,360 ,52.0 ,1 1 ,4 35 ,35 ,62 99 ,146 234 ,292 ,92 0 
