Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporcioncontactos,decasosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con contactos ,% ,Contactos Nuevos ,Investigados ,% 
Ancud ,2 ,2 ,100 ,2 ,100 ,11 ,11 ,100 
Calbuco ,32 ,32 ,100 ,32 ,100 ,97 ,97 ,100 
Castro ,1 ,1 ,100 ,0 ,00 ,0 ,0 ,- 
Chaiten ,3 ,3 ,100 ,3 ,100 ,14 ,14 ,100 
Chonchi ,- ,- ,- ,- ,- ,- ,- ,- 
Cochamo ,- ,- ,- ,- ,- ,- ,- ,- 
Curaco de Velez ,- ,- ,- ,- ,- ,- ,- ,- 
Dalcahue ,- ,- ,- ,- ,- ,- ,- ,- 
Fresia ,12 ,12 ,100 ,12 ,100 ,19 ,19 ,100 
Frutillar ,41 ,41 ,100 ,39 ,951 ,9 ,9 ,100 
Futaleufu ,- ,- ,- ,- ,- ,- ,- ,- 
Hualaihue ,- ,- ,- ,- ,- ,- ,- ,- 
Llanquihue ,16 ,11 ,688 ,16 ,100 ,26 ,26 ,100 
Los Muermos ,20 ,20 ,100 ,20 ,100 ,57 ,57 ,100 
Maullin ,17 ,17 ,100 ,15 ,882 ,6 ,6 ,100 
Osorno ,82 ,82 ,100 ,82 ,100 ,227 ,227 ,100 
Palena ,- ,- ,- ,- ,- ,- ,- ,- 
Puerto Montt ,257 ,191 ,743 ,237 ,922 ,508 ,508 ,100 
Puerto Octay ,5 ,5 ,100 ,5 ,100 ,26 ,26 ,100 
Puerto Varas ,22 ,21 ,955 ,22 ,100 ,35 ,35 ,100 
Puqueldon ,- ,- ,- ,- ,- ,- ,- ,- 
Purranque ,14 ,14 ,100 ,14 ,100 ,48 ,48 ,100 
Puyehue ,6 ,6 ,100 ,6 ,100 ,13 ,13 ,100 
Queilen ,- ,- ,- ,- ,- ,- ,- ,- 
Quellon ,- ,- ,- ,- ,- ,- ,- ,- 
Quemchi ,- ,- ,- ,- ,- ,- ,- ,- 
Quinchao ,- ,- ,- ,- ,- ,- ,- ,- 
Rio Negro ,6 ,6 ,100 ,6 ,100 ,5 ,5 ,100 
San Juan de la Costa ,3 ,3 ,100 ,3 ,100 ,20 ,20 ,100 
San Pablo ,5 ,5 ,100 ,5 ,100 ,12 ,12 ,100 
Total ,544 ,472 ,868 ,519 ,954 ,1133 ,1133 ,100 
