Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contactos ,% ,Contactos Nuevos ,Investigados ,% 
Angol ,17 ,17 ,100 ,12 ,706 ,32 ,32 ,100 
Carahue ,10 ,10 ,100 ,3 ,300 ,12 ,12 ,100 
Cholcho ,- ,- ,- ,1 ,- ,1 ,1 ,100 
Collipulli ,39 ,39 ,100 ,31 ,795 ,110 ,110 ,100 
Cunco ,14 ,14 ,100 ,7 ,500 ,37 ,37 ,100 
Curacautin ,1 ,1 ,100 ,1 ,100 ,6 ,6 ,100 
Curarrehue ,- ,- ,- ,- ,- ,- ,- ,- 
Ercilla ,7 ,7 ,100 ,7 ,100 ,26 ,26 ,100 
Freire ,- ,- ,- ,- ,- ,- ,- ,- 
Galvarino ,- ,- ,- ,- ,- ,- ,- ,- 
Gorbea ,- ,- ,- ,1 ,- ,2 ,2 ,100 
Lautaro ,11 ,11 ,100 ,9 ,818 ,41 ,41 ,100 
Loncoche ,1 ,1 ,100 ,O ,00 ,- ,- ,- 
Lonquimay ,- ,- ,- ,- ,- ,- ,- ,- 
LOs Sauces ,- ,- ,- ,1 ,- ,2 ,2 ,100 
Lumaco ,1 ,1 ,100 ,1 ,100 ,10 ,10 ,100 
Melipeuco ,- ,- ,- ,- ,- ,- ,- ,- 
Nueva Imperial ,7 ,7 ,100 ,4 ,571 ,15 ,15 ,100 
Padre Las Casas ,19 ,19 ,100 ,11 ,579 ,23 ,23 ,100 
Perquenco ,13 ,13 ,100 ,8 ,615 ,25 ,25 ,100 
Pitrufquen ,- ,- ,- ,- ,- ,- ,- ,- 
Pucon ,- ,- ,- ,2 ,- ,3 ,3 ,100 
Puren ,- ,- ,- ,1 ,- ,6 ,6 ,100 
Renaico ,1 ,1 ,100 ,O ,00 ,- ,- ,- 
Saavedra ,- ,- ,- ,1 ,- ,1 ,1 ,100 
Temuco ,38 ,38 ,100 ,35 ,921 ,107 ,107 ,100 
Teodoro Schmidt ,- ,- ,- ,1 ,- ,1 ,1 ,100 
Tolten ,- ,- ,- ,O ,- ,- ,- ,- 
Traiguen ,4 ,4 ,100 ,1 ,250 ,3 ,3 ,100 
Victoria ,6 ,6 ,100 ,7 ,1167 ,27 ,27 ,100 
Vilcun ,25 ,25 ,100 ,13 ,520 ,59 ,59 ,100 
Villarrica ,2 ,2 ,100 ,1 ,500 ,2 ,2 ,100 
Total ,216 ,216 ,100 ,159 ,736 ,551 ,551 ,100 
