edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4784 ,2.0 ,788.8 ,4407 ,2.0 ,754.8 ,9191 ,2.0 ,772.1 
05 09 anos ,3993 ,1.7 ,611.6 ,3876 ,1.7 ,615.7 ,7869 ,1.7 ,613.6 
10 14 anos ,4524 ,1.9 ,702.6 ,4719 ,2.1 ,759.4 ,9243 ,2.0 ,730.5 
15 19 anos ,7557 ,3.2 ,1179.6 ,8604 ,3.8 ,1389.0 ,16161 ,3.5 ,1282.6 
20 24 anos ,18486 ,7.9 ,2521.9 ,18787 ,8.3 ,2645.4 ,37273 ,8.1 ,2582.7 
25 29 anos ,28786 ,12.2 ,3437.7 ,28533 ,12.7 ,3514.8 ,57319 ,12.4 ,3475.7 
30 34 anos ,29229 ,12.4 ,3607.5 ,26623 ,11.8 ,3387.2 ,55852 ,12.1 ,3499.0 
35 39 anos ,23883 ,10.2 ,3292.6 ,21171 ,9.4 ,2982.3 ,45054 ,9.8 ,3139.1 
40 44 anos ,20229 ,8.6 ,2995.6 ,17992 ,8.0 ,2678.5 ,38221 ,8.3 ,2837.5 
45 49 anos ,19790 ,8.4 ,3135.5 ,18620 ,8.3 ,2907.7 ,38410 ,8.3 ,3020.8 
50 54 anos ,18895 ,8.0 ,3143.7 ,17799 ,7.9 ,2855.2 ,36694 ,8.0 ,2996.8 
55 59 anos ,17750 ,7.5 ,3199.0 ,16297 ,7.2 ,2759.3 ,34047 ,7.4 ,2972.3 
60 64 anos ,13397 ,5.7 ,2844.2 ,11696 ,5.2 ,2256.3 ,25093 ,5.4 ,2536.2 
65 69 anos ,8496 ,3.6 ,2242.2 ,7818 ,3.5 ,1794.4 ,16314 ,3.5 ,2002.7 
70 74 anos ,6083 ,2.6 ,2303.5 ,5859 ,2.6 ,1834.9 ,11942 ,2.6 ,2047.0 
75 79 anos ,4194 ,1.8 ,2377.6 ,4557 ,2.0 ,1919.6 ,8751 ,1.9 ,2114.9 
80 y mas anos ,5118 ,2.2 ,2604.3 ,7925 ,3.5 ,2262.2 ,13043 ,2.8 ,2385.2 
Total ,235194 ,100.0 ,2450.2 ,225283 ,100.0 ,2285.0 ,460477 ,100.0 ,2366.5 
