,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,NO ,% 
Hipertension arterial ,36145 ,11.9 ,7257 ,32.4 
Diabetes ,17783 ,5.9 ,4506 ,20.1 
Obesidad ,9366 ,3.1 ,1589 ,7.1 
Asma ,8613 ,2.8 ,726 ,3.2 
Enfermedad cardiovascular ,2310 ,0.8 ,969 ,4.3 
Enfermedad pulmonar cronica ,2068 ,0.7 ,977 ,4.4 
Cardiopatia cronica ,1814 ,0.6 ,980 ,4.4 
Enfermedad renal cronica ,1663 ,0.5 ,979 ,4.4 
Enfermedad neurologica cronica ,1142 ,0.4 ,656 ,2.9 
nmunocomprometido ,344 ,0.1 ,231 ,1.0 
Enfermedad hepatica cronica ,283 ,0.1 ,259 ,1.2 
