,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE SE SE 15 16 17 18 
Alto Biobio ,6775 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O O 
Antuco ,4306 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O O O 
Arauco ,38679 ,6 ,15.5 ,0 ,0.0 ,0 ,0.0 ,O O 1 2 ,2 1 ,O O O 0 
Cabrero ,30725 ,16 ,52.1 ,6 ,19.5 ,6 ,19.5 ,O O O 1 ,0 3 ,3 7 1 1 
Canete ,37003 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O 0 O O 
Chiguayante ,91180 ,61 ,66.9 ,11 ,12.1 ,11 ,12.1 ,O O 5 5 ,8 16 ,11 9 7 O 
Concepcion ,238092 ,147 ,61.7 ,19 ,8.0 ,19 ,8.0 ,1 1 8 26 ,33 22 ,21 18 14 3 
Contulmo ,6330 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O ,O 0 ,O O O 0 
Coronel ,125829 ,21 ,16.7 ,5 ,4.0 ,5 ,4.0 ,0 O 0 6 ,6 3 ,1 0 5 0 
Curanilahue & ,33892 ,1 ,3.0 ,0 ,0.0 ,O ,0.0 ,O O O 1 ,0 ,0 O 0 0 
Florida ,11841 ,3 ,25.3 ,0 ,0.0 ,O ,0.0 ,O 0 O O ,2 1 ,O O O 0 
Hualpen & ,97273 ,103 ,105.9 ,3 ,3.1 ,3 ,3.1 ,O O 1 18 ,31 25 ,17 9 2 O 
Hualqui ,26201 ,20 ,76.3 ,2 ,7.6 ,2 ,7.6 ,O O 1 1 ,2 3 ,4 9 O O 
Laja ,23873 ,12 ,50.3 ,6 ,25.1 ,6 ,25.1 ,O 1 1 O ,3 0 ,1 1 5 O 
Lebu ,27100 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O O ,O O O 0 
Los Alamos ,22524 ,1 ,4.4 ,0 ,0.0 ,O ,0.0 ,O 0 0 O ,O O ,1 O O O 
Los Angeles ,218515 ,31 ,14.2 ,2 ,0.9 ,2 ,0.9 ,O O 3 6 ,9 6 ,4 3 O O 
Lota ,45750 ,1 ,2.2 ,0 ,0.0 ,O ,0.0 ,O O O 1 ,0 0 ,O O 0 O 
Mulchen ,31041 ,5 ,16.1 ,0 ,0.0 ,O ,0.0 ,O O O 1 ,4 O ,O O O O 
Nacimiento ,27944 ,10 ,35.8 ,O ,0.0 ,O ,0.0 ,O O O 2 ,3 3 ,2 O O O 
Negrete ,10429 ,2 ,19.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,0 2 ,0 O 0 0 
Penco ,49865 ,19 ,38.1 ,2 ,4.0 ,2 ,4.0 ,0 O O 1 ,3 3 ,3 8 O 1 
