,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE 18 ,SE SE 19 20 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O ,O O ,O O ,0 ,O O 
Cabo de Hornos ,1983 ,20 ,1008.6 ,1 ,50.4 ,1 ,50.4 ,O O 2 7 ,7 ,1 2 ,O O ,O ,1 0 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O O ,O ,O O 
Natales ,23782 ,9 ,37.8 ,O ,0.0 ,O ,0.0 ,O O 1 3 ,2 ,O 2 ,O O ,1 ,O O 
Porvenir ,7323 ,9 ,122.9 ,1 ,13.7 ,1 ,13.7 ,O O O O ,3 ,1 2 ,2 O ,O ,1 O 
Primavera ,694 ,1 ,144.1 ,0 ,0.0 ,0 ,0.0 ,O O O O ,O ,O 1 ,0 0 ,0 ,O 0 
Punta Arenas& ,141984 ,893 ,628.9 ,110 ,77.5 ,107 ,75.4 ,2 1 6 62 ,121 ,148 154 ,132 84 ,104 ,71 8 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O 0 ,0 ,O 0 
San Gregorio ,681 ,2 ,293.7 ,2 ,293.7 ,2 ,293.7 ,O O O O ,O ,O O ,O O ,O ,2 O 
Timaukel ,282 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O O ,O ,O 0 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O O ,O ,O 0 
Total ,178362 ,934 ,523.7 ,114 ,63.9 ,111 ,62.2 ,2 1 9 72 ,133 ,150 161 ,134 84 ,105 ,75 8 
