,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,1028 ,2.1 ,169.5 ,933 ,2.2 ,159.8 ,1961 ,2.2 ,164.7 
05 09 anos ,742 ,1.5 ,113.7 ,709 ,1.7 ,112.6 ,1451 ,1.6 ,113.1 
10 14 anos ,840 ,1.7 ,130.5 ,825 ,1.9 ,132.8 ,1665 ,1.8 ,131.6 
15 19 anos ,1358 ,2.8 ,212.0 ,1484 ,3.5 ,239.6 ,2842 ,3.1 ,225.5 
20 24 anos ,3644 ,7.6 ,497.1 ,3454 ,8.1 ,486.4 ,7098 ,7.8 ,491.8 
25 29 anos ,6131 ,12.8 ,732.2 ,5731 ,13.5 ,706.0 ,11862 ,13.1 ,719.3 
30 34 anos ,6393 ,13.3 ,789.0 ,5399 ,12.7 ,686.9 ,11792 ,13.0 ,738.7 
35 39 anos ,5264 ,11.0 ,725.7 ,4311 ,10.1 ,607.3 ,9575 ,10.6 ,667.1 
40 44 anos ,4336 ,9.0 ,642.1 ,3574 ,8.4 ,532.1 ,7910 ,8.7 ,587.2 
45 49 anos ,4143 ,8.6 ,656.4 ,3612 ,8.5 ,564.1 ,7755 ,8.6 ,609.9 
50 54 anos ,3837 ,8.0 ,638.4 ,3276 ,7.7 ,525.5 ,7113 ,7.8 ,580.9 
55 59 anos ,3472 ,7.2 ,625.7 ,2940 ,6.9 ,497.8 ,6412 ,7.1 ,559.8 
60 64 anos ,2610 ,5.4 ,554.1 ,2025 ,4.8 ,390.7 ,4635 ,5.1 ,468.5 
65 69 anos ,1564 ,3.3 ,412.8 ,1316 ,3.1 ,302.1 ,2880 ,3.2 ,353.5 
70 74 anos ,1082 ,2.3 ,409.7 ,965 ,2.3 ,302.2 ,2047 ,2.3 ,350.9 
75 79 anos ,757 ,1.6 ,429.1 ,744 ,1.7 ,313.4 ,1501 ,1.7 ,362.7 
80 y mas anos ,844 ,1.8 ,429.5 ,1291 ,3.0 ,368.5 ,2135 ,2.4 ,390.4 
Total ,48045 ,100 ,,42589 ,100 ,432.0 ,90634 ,100 ,465.8 
