,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Antofagasta ,425.725 ,122 ,"28,7 ",55 ,"12,9 ",54 ,"12,7 ",O ,1 ,2 ,25 ,29 ,28 ,31 ,6 
Calama ,190.336 ,21 ,"11,0 ",11 ,"5,8 ",11 ,"5,8 ",1 ,O ,2 ,3 ,2 ,6 ,7 ,0 
Maria Elena ,6.814 ,2 ,"29,4 ",2 ,"29,4 ",2 ,"29,4 ",O ,O ,0 ,O ,O ,0 ,2 ,0 
Mejillones ,14.776 ,14 ,"94,7 ",13 ,"88,0 ",13 ,"88,0 ",O ,O ,0 ,O ,1 ,7 ,6 ,0 
Ollague ,287 ,O ,"0,0 ",O ,"0,0 ",O ,"0,0 ",O ,0 ,0 ,O ,O ,O ,O ,O 
San Pedro de Atacama ,10.434 ,4 ,"38,3 ",0 ,"0,0 ",O ,"0,0 ",0 ,0 ,0 ,2 ,1 ,1 ,O ,O 
Sierra Gorda ,1.746 ,O ,"0,0 ",0 ,"0,0 ",O ,"0,0 ",O ,O ,0 ,O ,O ,O ,O ,0 
Taltal ,13.657 ,7 ,"51,3 ",5 ,"36,6 ",5 ,"36,6 ",O ,O ,0 ,O ,O ,2 ,3 ,2 
Tocopilla ,28.079 ,6 ,"21,4 ",3 ,"10,7 ",3 ,"10,7 ",O ,0 ,0 ,2 ,O ,1 ,3 ,O 
Total ,691.854 ,176 ,"25,4 ",89 ,"12,9 ",88 ,"12,7 ",1 ,1 ,4 ,32 ,33 ,45 ,52 ,8 
