,,,,,,,,,,Numero,deCasos,Nuevos,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (4 de abril al 11 de abril 
Bulnes ,22.607 ,48 ,"212,3 ",13 ,"57,5 ",13 ,"57,5 ",0 ,O ,O ,8 ,27 ,9 ,4 
Chillan ,198.624 ,355 ,"178,7 ",84 ,"42,3 ",79 ,"39,8 ",1 ,2 ,30 ,119 ,119 ,73 ,11 
Chillan Viejo ,33.827 ,44 ,"130,1 ",13 ,"38,4 ",13 ,"38,4 ",0 ,O ,4 ,5 ,22 ,8 ,5 
Cobquecura ,5.275 ,O ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,0 ,0 ,0 ,O ,O ,0 
Coelemu ,16.845 ,4 ,"23,7 ",2 ,"11,9 ",2 ,"11,9 ",O ,O ,0 ,0 ,2 ,2 ,O 
Coihueco ,28.375 ,11 ,"38,8 ",6 ,"21,1 ",6 ,"21,1 ",0 ,O ,O ,3 ,2 ,3 ,3 
EI Carmen ,12.334 ,3 ,"24,3 ",1 ,"8,1 ",1 ,"8,1 ",0 ,O ,O ,1 ,1 ,1 ,O 
Ninhue ,5.414 ,2 ,"36,9 ",2 ,"36,9 ",2 ,"36,9 ",0 ,0 ,0 ,0 ,O ,2 ,0 
Niquen ,11.567 ,2 ,"17,3 ",2 ,"17,3 ",2 ,"17,3 ",O ,0 ,0 ,0 ,O ,O ,2 
Pemuco ,8.639 ,4 ,"46,3 ",3 ,"34,7 ",3 ,"34,7 ",0 ,O ,O ,1 ,O ,3 ,0 
Pinto ,11.880 ,10 ,"84,2 ",5 ,"42,1 ",5 ,"42,1 ",O ,0 ,O ,2 ,3 ,4 ,1 
Portezuelo ,4.940 ,1 ,"20,2 ",1 ,"20,2 ",1 ,"20,2 ",0 ,0 ,O ,0 ,0 ,1 ,0 
Quillon ,18.777 ,23 ,"122,5 ",6 ,"32,0 ",5 ,"26,6 ",O ,O ,1 ,8 ,8 ,6 ,O 
Quirihue ,12.192 ,4 ,"32,8 ",3 ,"24,6 ",2 ,"16,4 ",O ,O ,O ,O ,1 ,3 ,0 
Ranquil ,6.261 ,10 ,"159,7 ",5 ,"79,9 ",5 ,"79,9 ",0 ,O ,O ,3 ,2 ,5 ,O 
San Carlos ,56.252 ,31 ,"55,1 ",12 ,"21,3 ",12 ,"21,3 ",0 ,O ,3 ,7 ,9 ,9 ,3 
San Fabian ,4.654 ,6 ,"128,9 ",1 ,"21,5 ",1 ,"21,5 ",0 ,O ,0 ,2 ,3 ,1 ,O 
San Ignacio ,16.624 ,6 ,"36,1 ",1 ,"6,0 ",1 ,"6,0 ",0 ,0 ,0 ,2 ,3 ,1 ,0 
San Nicolas ,12.172 ,12 ,"98,6 ",5 ,"41,1 ",5 ,"41,1 ",0 ,O ,1 ,2 ,4 ,4 ,1 
Treguaco ,5.696 ,0 ,"0,0 ",0 ,"0,0 ",0 ,"0,0 ",0 ,O ,0 ,0 ,0 ,O ,0 
Yungay ,18.596 ,42 ,"225,9 ",25 ,"134,4 ",25 ,"134,4 ",O ,O ,O ,6 ,11 ,23 ,2 
,,,,,,,,,,,,,,
