,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE 16 17 ,SE SE 18 19 ,SE 20 ,SE 21 ,SE SE SE 22 23 24 
Andacollo & ,11791 ,19 ,161.1 ,5 ,42.4 ,4 ,33.9 ,0 O 0 0 ,0 0 0 ,O 0 ,2 7 ,3 ,2 ,4 1 0 
Canela ,9546 ,4 ,41.9 ,0 ,0.0 ,O ,0.0 ,O O O 0 ,O O O ,O O ,1 O ,2 ,O ,1 O 0 
& Combarbala ,13884 ,20 ,144.1 ,8 ,57.6 ,8 ,57.6 ,O O O O ,O O O ,O O ,2 3 ,4 ,3 ,5 3 0 
& Coquimbo ,256735 ,363 ,141.4 ,95 ,37.0 ,95 ,37.0 ,O O 4 13 ,3 1 1 ,4 7 ,14 78 ,78 ,54 ,90 16 0 
Illapel ,32801 ,43 ,131.1 ,20 ,61.0 ,20 ,61.0 ,O O O 0 ,4 7 7 ,O O ,1 O ,1 ,3 ,16 4 0 
La Higuera & ,4450 ,1 ,22.5 ,O ,0.0 ,O ,0.0 ,O O 0 0 ,O 0 O ,O O ,0 0 ,0 ,O ,1 O 0 
La Serena & ,249656 ,260 ,104.1 ,66 ,26.4 ,66 ,26.4 ,O O 1 3 ,6 4 2 ,2 5 ,13 49 ,42 ,61 ,52 20 0 
LOs Vilos ,23374 ,8 ,34.2 ,2 ,8.6 ,2 ,8.6 ,O O O 1 ,O O O ,O O ,O 1 ,O ,3 ,3 O O 
Monte Patria & ,32527 ,68 ,209.1 ,15 ,46.1 ,14 ,43.0 ,O O O O ,0 O O ,O O ,1 6 ,18 ,23 ,18 2 0 
Ovalle' ,121269 ,257 ,211.9 ,101 ,83.3 ,101 ,83.3 ,O O 2 2 ,4 2 O ,1 1 ,12 25 ,43 ,51 ,84 30 0 
Paiguano' ,4675 ,4 ,85.6 ,2 ,42.8 ,2 ,42.8 ,O 0 0 0 ,0 0 O ,0 0 ,O 0 ,0 ,2 ,2 0 0 
Punitaqui ,12165 ,26 ,213.7 ,11 ,90.4 ,11 ,90.4 ,O O O O ,O O O ,1 1 ,3 6 ,O ,4 ,10 1 0 
Rio Hurtado ,4372 ,10 ,228.7 ,5 ,114.4 ,5 ,114.4 ,O O O 1 ,O O O ,O O ,1 0 ,O ,2 ,4 2 0 
& Salamanca ,29110 ,37 ,127.1 ,16 ,55.0 ,16 ,55.0 ,O O O 1 ,2 1 2 ,1 O ,3 1 ,2 ,5 ,14 5 0 
Vicuna ,29741 ,19 ,63.9 ,4 ,13.4 ,4 ,13.4 ,0 0 0 O ,O 0 O ,0 1 ,2 5 ,3 ,4 ,4 0 0 
Total ,836096 ,1139 ,136.2 ,350 ,41.9 ,348 ,41.6 ,0 0 7 21 ,19 15 12 ,9 15 ,55 181 ,196 ,217 ,308 84 0 
