Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,1535 ,1.8 ,253.1 ,1380 ,1.8 ,236.4 ,2915 ,1.8 ,244.9 
05 09 anos ,1104 ,1.3 ,169.1 ,1050 ,1.4 ,166.8 ,2154 ,1.3 ,168.0 
10 14 anos ,1315 ,1.6 ,204.2 ,1284 ,1.7 ,206.6 ,2599 ,1.6 ,205.4 
15 19 anos ,2237 ,2.6 ,349.2 ,2480 ,3.3 ,400.4 ,4717 ,2.9 ,374.3 
20 24 anos ,6381 ,7.5 ,870.5 ,6131 ,8.0 ,863.3 ,12512 ,7.8 ,867.0 
25 29 anos ,10740 ,12.7 ,1282.6 ,10131 ,13.3 ,1248.0 ,20871 ,13.0 ,1265.6 
30 34 anos ,11057 ,13.1 ,1364.7 ,9643 ,12.6 ,1226.9 ,20700 ,12.9 ,1296.8 
35 39 anos ,9147 ,10.8 ,1261.0 ,7682 ,10.1 ,1082.1 ,16829 ,10.5 ,1172.6 
40 44 anos ,7586 ,9.0 ,1123.4 ,6309 ,8.3 ,939.2 ,13895 ,8.6 ,1031.5 
45 49 anos ,7305 ,8.6 ,1157.4 ,6567 ,8.6 ,1025.5 ,13872 ,8.6 ,1091.0 
50 54 anos ,6926 ,8.2 ,1152.3 ,6028 ,7.9 ,967.0 ,12954 ,8.1 ,1058.0 
55 59 anos ,6342 ,7.5 ,1143.0 ,5460 ,7.2 ,924.5 ,11802 ,7.3 ,1030.3 
60 64 anos ,4786 ,5.7 ,1016.1 ,3799 ,5.0 ,732.9 ,8585 ,5.3 ,867.7 
65 69 anos ,2924 ,3.5 ,771.7 ,2502 ,3.3 ,574.3 ,5426 ,3.4 ,666.1 
70 74 anos ,2086 ,2.5 ,789.9 ,1908 ,2.5 ,597.5 ,3994 ,2.5 ,684.6 
75 79 anos ,1418 ,1.7 ,803.9 ,1415 ,1.9 ,596.1 ,2833 ,1.8 ,684.7 
80 y mas anos ,1659 ,2.0 ,844.2 ,2523 ,3.3 ,720.2 ,4182 ,2.6 ,764.8 
Total ,84548 ,100 ,880.8 ,76292 ,100 ,773.8 ,160840 ,100 ,826.6 
