,,,,,,Numero,deCasosbegun,FechadeInicio,de,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE 14 15 16 ,SE 17 ,SE SE SE 18 19 20 
Algarrobo ,15174 ,19 ,125.2 ,6 ,39.5 ,5 ,33.0 ,0 O 1 4 ,4 ,O O O ,2 ,3 5 O 
Cabildo ,20663 ,7 ,33.9 ,1 ,4.8 ,1 ,4.8 ,O O O O ,O ,O O O ,4 ,3 O 0 
Calera ,53591 ,28 ,52.2 ,5 ,9.3 ,5 ,9.3 ,O O O 1 ,6 ,2 4 7 ,2 ,1 4 1 
Calle Larga ,16482 ,12 ,72.8 ,5 ,30.3 ,5 ,30.3 ,O O O O ,O ,2 3 1 ,O ,3 2 1 
Cartagena ,25357 ,21 ,82.8 ,9 ,35.5 ,8 ,31.5 ,O O O O ,O ,2 O 3 ,5 ,5 6 O 
Casablanca ,29170 ,13 ,44.6 ,10 ,34.3 ,10 ,34.3 ,O O O 1 ,O ,1 1 O ,O ,0 8 2 
Catemu ,15213 ,2 ,13.1 ,1 ,6.6 ,1 ,6.6 ,0 0 O O ,O ,O O O ,O ,1 1 0 
Con Con ,45889 ,29 ,63.2 ,6 ,13.1 ,6 ,13.1 ,O O O 2 ,6 ,1 1 O ,9 ,6 3 1 
EI Quisco ,17742 ,23 ,129.6 ,9 ,50.7 ,9 ,50.7 ,O O O 1 ,O ,4 2 4 ,O ,5 7 O 
EI Tabo ,14338 ,23 ,160.4 ,10 ,69.7 ,10 ,69.7 ,O O O O ,5 ,O 2 3 ,3 ,3 5 2 
Hijuelas ,19099 ,2 ,10.5 ,1 ,5.2 ,1 ,5.2 ,O O O O ,O ,O 1 O ,O ,O O 1 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,0 O O 2 ,1 ,2 O O ,O ,O 0 0 
Juan Fernandez ,1033 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O ,O O O ,O ,O O 0 
La Cruz ,25321 ,19 ,75.0 ,8 ,31.6 ,8 ,31.6 ,O 1 O 1 ,2 ,3 1 O ,1 ,6 4 O 
La Ligua ,37739 ,3 ,7.9 ,O ,0.0 ,O ,0.0 ,O O O 1 ,O ,1 O O ,O ,1 O O 
Limache ,49931 ,47 ,94.1 ,23 ,46.1 ,23 ,46.1 ,O O O 2 ,O ,5 9 6 ,1 ,7 16 1 
Llaillay ,26533 ,11 ,41.5 ,7 ,26.4 ,7 ,26.4 ,O O O 1 ,1 ,O O O ,1 ,2 2 4 
Los Andes ,68093 ,28 ,41.1 ,17 ,25.0 ,17 ,25.0 ,O 0 O 2 ,2 ,O 3 O ,2 ,6 13 0 
Nogales ,23490 ,3 ,12.8 ,2 ,8.5 ,2 ,8.5 ,O O O O ,O ,O O O ,O ,1 2 O 
Olmue ,19266 ,3 ,15.6 ,1 ,5.2 ,1 ,5.2 ,O O O O ,O ,2 O O ,O ,O 1 0 
Panquehue ,7633 ,1 ,13.1 ,1 ,13.1 ,1 ,13.1 ,O O O O ,O ,O O O ,O ,O 1 O 
