,,,Numerode,Casos,segun,FechadeIniciodeSintomas.NotificacionoToma,deMuestra,,
,Residencia ,SE SE SE SE SE SE SE ,SE SE SE SE ,SE ,SE ,SE SE SE SE SE SE SE ,SE SE SE SE SE ,SE SE SE ,SE SE SE 
Region de Notificacion o Toma de Muestra ,Desconocida ,9 10 11 12 13 14 15 ,16 17 18 19 ,20 ,21 ,22 23 24 25 26 27 28 ,29 30 31 32 33 ,34 35 36 ,37 38 39 
Region de Arica y Parinacota ,32 ,O O O 0 O O 1 ,O O O O ,O ,O ,O O O O O O O ,2 3 3 9 2 ,2 O 2 ,2 5 1 
Region de Tarapaca ,524 ,O O O O O O 1 ,O 1 5 95 ,29 ,25 ,25 31 25 20 22 15 17 ,33 35 17 16 13 ,11 13 10 ,15 40 10 
Region de Antofagasta ,293 ,O O O O O O O ,1 5 O 1 ,1 ,O ,O 5 10 41 30 27 21 ,23 21 27 26 14 ,14 10 4 ,8 3 1 
Region de Atacama ,38 ,O O O 0 O O 0 ,0 O O O ,O ,O ,O O O 9 1 2 1 ,3 2 0 11 2 ,3 1 1 ,1 O 1 
Region de Coquimbo ,144 ,0 0 O 1 O 3 1 ,1 1 O 1 ,3 ,10 ,8 9 17 11 16 10 18 ,12 2 8 4 2 ,O O 2 ,1 2 1 
Region de Valparaiso ,439 ,O O O 2 3 3 1 ,1 O O 11 ,7 ,6 ,36 26 35 56 46 49 25 ,23 10 10 11 6 ,11 14 12 ,11 14 10 
Region Metropolitana de Santiago ,14465 ,O O 6 8 19 53 176 ,358 530 631 1258 ,1974 ,2234 ,1513 1186 1226 1262 727 395 253 ,144 77 99 46 25 ,38 39 52 ,51 44 41 
Region del Libertador General Bernardo OHiggins ,58 ,0 O O O 0 O 1 ,O O O 1 ,1 ,2 ,O 6 1 6 7 2 6 ,2 5 O 1 O ,O 5 2 ,2 4 4 
Region del Maule ,1 ,O O O O O O O ,O O O O ,O ,O ,O O O O O O O ,O O O O O ,1 O O ,O O O 
Region del Nuble ,2 ,O O O O O O O ,O O O O ,O ,O ,O O O O O O 1 ,O O O O O ,1 O O ,O O O 
Region del Biobio ,177 ,O O O 1 O O O ,O O O 2 ,4 ,6 ,6 9 5 27 35 7 11 ,11 10 10 7 3 ,6 7 1 ,O 1 8 
Region de la Araucania ,4 ,O O O O 1 O O ,O O O O ,O ,O ,O O O O O O O ,O O O O O ,O O 1 ,O O 2 
Region de Los Rios ,7 ,O O 1 O O O 1 ,1 O O O ,O ,O ,1 O 1 1 O O O ,O O O 1 O ,O O O ,O O O 
Region de Los Lagos ,72 ,O O 9 10 3 1 O ,1 3 O 1 ,1 ,2 ,3 1 1 3 3 4 12 ,4 1 2 O O ,O 2 2 ,1 1 1 
Region de Aysen del General Carlos ibanez del Campo ,2 ,O O 1 O O O O ,O O O O ,O ,O ,O O O O O O O ,O O O O O ,O O O ,O 1 O 
Region de Magallanes y la Antartica Chilena ,29 ,O O O O O O O ,O O O O ,O ,O ,O O 1 O O 1 O ,O 1 O O O ,5 O 5 ,9 4 3 
Desconocido ,54 ,O O O 2 9 1 1 ,1 2 3 3 ,O ,6 ,3 21 O O O O O ,O O O 1 O ,O O O ,O O O 
Total pais ,16341 ,0 0 17 24 35 61 183 ,364 542 639 1373 ,2020 ,2291 ,1595 1294 1322 1436 887 512 365 ,257 167 176 133 67 ,92 91 94 ,101 119 83 
