,,,,,,,,,Numerode,Casossegun,Fechade,IniciodeSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE ,SE SE SE ,SE SE SE ,SE ,SE ,SE SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Fallecidos ,mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 ,12 13 14 ,15 16 17 ,18 ,19 ,20 21 ,22 ,23 24 
Chepica ,15925 ,9 ,56.5 ,O ,0.0 ,2 ,12.6 ,2 ,12.6 ,O O 0 ,0 0 O ,0 O 0 ,O ,0 ,6 0 ,1 ,2 0 
Chimbarongo& ,37696 ,42 ,111.4 ,1 ,2.7 ,9 ,23.9 ,9 ,23.9 ,O 0 0 ,1 1 0 ,0 O 0 ,1 ,5 ,13 8 ,5 ,8 0 
Codegua& ,14096 ,18 ,127.7 ,0 ,0.0 ,7 ,49.7 ,7 ,49.7 ,O 0 0 ,1 0 O ,0 O 0 ,O ,1 ,3 5 ,4 ,4 O 
Coinco& ,7831 ,23 ,293.7 ,1 ,12.8 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,0 0 O ,0 O 1 ,0 ,4 ,10 7 ,1 ,0 0 
Coltauco& ,21263 ,33 ,155.2 ,1 ,4.7 ,0 ,0.0 ,0 ,0.0 ,O O O ,0 0 O ,0 0 O ,O ,15 ,8 9 ,1 ,0 O 
Donihue8 ,22700 ,50 ,220.3 ,2 ,8.8 ,3 ,13.2 ,3 ,13.2 ,O 0 0 ,0 0 O ,0 1 0 ,5 ,9 ,15 12 ,5 ,3 0 
Graneros& ,36504 ,72 ,197.2 ,1 ,2.7 ,5 ,13.7 ,5 ,13.7 ,0 0 0 ,0 0 0 ,0 0 3 ,7 ,13 ,19 22 ,5 ,2 1 
La Estrella ,3114 ,3 ,96.3 ,0 ,0.0 ,3 ,96.3 ,3 ,96.3 ,O 0 0 ,0 0 O ,0 O O ,O ,0 ,0 0 ,1 ,2 O 
Las Cabras ,26749 ,23 ,86.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 ,O 0 O ,1 2 4 ,3 ,2 ,4 3 ,4 ,0 0 
Litueche ,6765 ,18 ,266.1 ,1 ,14.8 ,6 ,88.7 ,5 ,73.9 ,O 0 0 ,0 0 0 ,0 1 5 ,2 ,2 ,1 0 ,1 ,6 0 
Lolol ,7289 ,12 ,164.6 ,O ,0.0 ,4 ,54.9 ,4 ,54.9 ,0 0 0 ,O 0 0 ,0 0 O ,O ,1 ,2 0 ,8 ,1 O 
Machali ,59913 ,100 ,166.9 ,2 ,3.3 ,25 ,41.7 ,24 ,40.1 ,O 0 1 ,4 2 O ,4 O 5 ,4 ,7 ,17 18 ,19 ,17 2 
Malloa& ,14163 ,8 ,56.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 0 ,0 0 O ,0 ,1 ,3 1 ,3 ,0 0 
Marchihue ,7632 ,4 ,52.4 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O ,O O 0 ,0 O O ,O ,0 ,0 1 ,3 ,0 O 
Mostazal8 ,27462 ,34 ,123.8 ,2 ,7.3 ,3 ,10.9 ,3 ,10.9 ,O 0 O ,O O O ,0 0 O ,3 ,4 ,5 12 ,9 ,1 O 
Nancagua& ,19141 ,27 ,141.1 ,O ,0.0 ,6 ,31.3 ,6 ,31.3 ,O O 0 ,O O O ,0 O O ,1 ,1 ,11 3 ,8 ,3 O 
Navidad ,6904 ,20 ,289.7 ,O ,0.0 ,3 ,43.5 ,3 ,43.5 ,O 0 0 ,O 0 O ,0 O 3 ,0 ,6 ,2 6 ,0 ,3 0 
