,,,Numerode,Casos,segunFecha,deInicio,de,Sintomas.,,Notificacion,OToma,de,Muestra,,
,SE SE SE SE ,SE ,SE SE ,SE ,SE SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE SE 
Comuna ,9 10 11 12 ,13 ,14 15 ,16 ,17 18 19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 30 31 
Algarrobo & ,O O 1 4 ,4 ,O O ,O ,2 4 6 ,13 ,10 ,7 ,19 ,19 ,8 ,6 ,2 ,3 ,2 O O 
Cabildo & ,O O 0 0 ,O ,O O ,O ,5 3 2 ,7 ,7 ,17 ,20 ,40 ,49 ,55 ,30 ,30 ,10 5 O 
Calera & ,O O O 1 ,6 ,3 4 ,7 ,2 2 7 ,19 ,21 ,23 ,51 ,60 ,83 ,86 ,97 ,94 ,100 66 2 
Calle Larga & ,1 O O O ,1 ,1 3 ,1 ,O 4 3 ,8 ,29 ,25 ,27 ,24 ,25 ,41 ,20 ,8 ,8 9 O 
Cartagena & ,O O O O ,O ,2 O ,1 ,5 5 12 ,8 ,17 ,11 ,17 ,20 ,20 ,15 ,18 ,10 ,14 5 O 
Casablanca & ,0 O O 2 ,O ,1 1 ,O ,O O 9 ,9 ,9 ,13 ,24 ,24 ,16 ,25 ,18 ,16 ,16 19 2 
Catemu ,O O O 1 ,O ,O O ,O ,O 1 1 ,7 ,3 ,14 ,15 ,14 ,4 ,19 ,8 ,12 ,9 13 7 
Con Con & ,O O O 4 ,4 ,3 1 ,O ,11 6 9 ,16 ,19 ,27 ,53 ,45 ,53 ,79 ,73 ,52 ,25 12 4 
EI Quisco ,O O O 1 ,O ,4 2 ,4 ,O 5 9 ,14 ,15 ,15 ,19 ,11 ,7 ,12 ,23 ,9 ,11 8 3 
EI Tabo & ,0 0 O 0 ,5 ,O 2 ,3 ,3 4 7 ,6 ,16 ,26 ,19 ,20 ,23 ,32 ,18 ,9 ,8 15 4 
Hijuelas & ,O O O O ,O ,O 1 ,O ,O O O ,8 ,10 ,14 ,12 ,12 ,20 ,23 ,20 ,30 ,24 13 2 
Isla de Pascua ,O O O 2 ,1 ,2 O ,O ,O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Juan Fernandez ,O O O O ,O ,O O ,O ,O O O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
La Cruz & ,O 1 O 1 ,2 ,3 1 ,O ,1 8 7 ,4 ,5 ,14 ,15 ,10 ,14 ,25 ,17 ,18 ,24 23 4 
La Ligua & ,O O O 2 ,O ,1 O ,O ,O 1 3 ,10 ,17 ,27 ,33 ,48 ,30 ,43 ,45 ,40 ,34 22 1 
Limache & ,0 O O 3 ,O ,5 9 ,6 ,1 7 25 ,33 ,25 ,35 ,83 ,98 ,104 ,83 ,93 ,58 ,48 21 3 
Llaillay ,O O O 1 ,1 ,O O ,O ,1 2 5 ,30 ,23 ,26 ,33 ,22 ,33 ,28 ,31 ,49 ,20 21 4 
Los Andes & ,O O O 2 ,3 ,O 4 ,O ,2 10 21 ,57 ,85 ,94 ,142 ,111 ,109 ,92 ,82 ,64 ,63 41 2 
Nogales & ,O O O O ,O ,O O ,O ,O 2 4 ,6 ,6 ,7 ,9 ,16 ,19 ,16 ,21 ,20 ,35 25 2 
Olmue & ,O O O O ,O ,1 1 ,1 ,O O 2 ,5 ,11 ,7 ,14 ,22 ,15 ,10 ,17 ,15 ,16 11 1 
Panquehue ,O O O O ,O ,O O ,O ,O O 4 ,5 ,6 ,4 ,15 ,6 ,10 ,8 ,9 ,17 ,22 10 O 
Papudo & ,O O 0 O ,O ,1 O ,1 ,O O O ,6 ,4 ,13 ,13 ,13 ,9 ,6 ,5 ,4 ,3 4 O 
Petorca & ,0 0 O 1 ,4 ,1 O ,O ,O 0 1 ,4 ,5 ,9 ,4 ,5 ,14 ,10 ,10 ,8 ,7 3 0 
Puchuncavi & ,O O O O ,O ,O O ,O ,O O 4 ,11 ,6 ,8 ,30 ,27 ,24 ,19 ,13 ,11 ,4 6 1 
