,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE SE 17 18 19 
Alto Biobio ,6775 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O 0 ,O O ,O O ,O O O 
Antuco ,4306 ,3 ,69.7 ,3 ,69.7 ,3 ,69.7 ,O 0 O 0 ,O O ,O O ,O O 2 
Arauco ,38679 ,15 ,38.8 ,7 ,18.1 ,7 ,18.1 ,O 0 1 2 ,2 1 ,O 0 ,O 5 4 
Cabrero ,30725 ,23 ,74.9 ,4 ,13.0 ,4 ,13.0 ,0 O O 1 ,O 4 ,3 7 ,1 3 4 
Canete ,37003 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O O ,O O O 
Chiguayante ,91180 ,77 ,84.4 ,6 ,6.6 ,6 ,6.6 ,O O 5 5 ,9 16 ,11 10 ,10 7 3 
Concepcion ,238092 ,177 ,74.3 ,27 ,11.3 ,27 ,11.3 ,1 1 6 28 ,28 22 ,21 18 ,13 18 17 
Contulmo ,6330 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 0 ,0 O ,O O ,0 0 O 
Coronel ,125829 ,39 ,31.0 ,15 ,11.9 ,15 ,11.9 ,0 0 1 6 ,6 4 ,1 O ,5 2 10 
Curanilahue ,33892 ,4 ,11.8 ,2 ,5.9 ,2 ,5.9 ,0 O O 1 ,O O ,O O ,0 1 2 
Florida ,11841 ,3 ,25.3 ,O ,0.0 ,O ,0.0 ,O O O O ,2 1 ,O O ,O O O 
Hualpen8 ,97273 ,130 ,133.6 ,14 ,14.4 ,14 ,14.4 ,O O 3 23 ,33 26 ,17 8 ,2 5 11 
Hualqui ,26201 ,22 ,84.0 ,2 ,7.6 ,2 ,7.6 ,O 0 1 1 ,2 3 ,4 9 ,0 O 2 
Laja ,23873 ,42 ,175.9 ,29 ,121.5 ,29 ,121.5 ,0 1 1 0 ,3 1 ,1 1 ,5 1 16 
Lebu ,27100 ,2 ,7.4 ,1 ,3.7 ,1 ,3.7 ,O O O 0 ,0 O ,O O ,0 1 1 
Los Alamos ,22524 ,1 ,4.4 ,O ,0.0 ,O ,0.0 ,0 O O O ,0 O ,1 O ,0 O O 
Los Angeles ,218515 ,71 ,32.5 ,39 ,17.8 ,39 ,17.8 ,O O 3 6 ,9 6 ,5 3 ,O 1 23 
Lota ,45750 ,15 ,32.8 ,13 ,28.4 ,13 ,28.4 ,O O O 1 ,O O ,O O ,0 1 12 
Mulchen ,31041 ,10 ,32.2 ,4 ,12.9 ,4 ,12.9 ,O 0 O 1 ,4 O ,O O ,O 2 3 
Nacimiento ,27944 ,21 ,75.2 ,8 ,28.6 ,8 ,28.6 ,0 0 0 2 ,3 3 ,2 O ,1 3 7 
Negrete ,10429 ,9 ,86.3 ,7 ,67.1 ,7 ,67.1 ,O O O O ,O 2 ,O O ,O O 6 
Penco ,49865 ,22 ,44.1 ,2 ,4.0 ,2 ,4.0 ,O 0 O 1 ,3 3 ,3 8 ,O 2 1 
